Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,UnderLimit
2016-02-05,576.67,586.67,574,585.33,606000,,,
2016-02-08,577.33,600,577.33,596,296000,,,
2016-02-09,568,576.67,561.33,564.67,290000,,,
2016-02-10,565.33,570,533.33,540,466000,,,
2016-02-12,524.67,526,494,494.67,655000,,,
2016-02-15,504.67,540.67,504.67,536,449000,,,
2016-02-16,526,538,524,525.33,357000,,,
2016-02-17,525.33,534.67,516.67,522.67,275000,,,
2016-02-18,532.67,543.33,532.67,539.33,238000,,,
2016-02-19,531.33,537.33,519.33,522.67,277000,,,
2016-02-22,515.33,531.33,515.33,528,272000,,,
2016-02-23,530,551.33,528,529.33,502000,,,
2016-02-24,520.67,545.33,520.67,530.67,409000,,,
2016-02-25,536.67,548,536,544.67,249000,,,
2016-02-26,548.67,551.33,535.33,537.33,205000,,,
2016-02-29,547.33,553.33,536.67,536.67,610000,,,
2016-03-01,536.67,538,526,535.33,266000,,,
2016-03-02,550,556,548,551.33,383000,,,
2016-03-03,548,552.67,544.67,552.67,229000,,,
2016-03-04,556,560,548.67,558,314000,,,
2016-03-07,560,563.33,554.67,558,289000,,,
2016-03-08,552.67,558,541.33,548,353000,,,
2016-03-09,540,551.33,536.67,548,528000,,,
2016-03-10,548.67,562.67,548.67,560,280000,,,
2016-03-11,548.67,564.67,546,561.33,628000,,,
2016-03-14,562.67,569.33,560.67,567.33,436000,,,
2016-03-15,560,560.67,548,550.67,1586000,,,
2016-03-16,548,550,536,539.33,1276000,,,
2016-03-17,542.67,548.67,534,537.33,734000,,,
2016-03-18,538.67,541.33,530.67,533.33,499000,,,
2016-03-22,540,542,523.33,535.33,972000,,,
2016-03-23,540,541.33,532,534.67,546000,,,
2016-03-24,528.67,536.67,524,532.67,526000,,,
2016-03-25,535.33,541.33,531.33,539.33,462000,,,
2016-03-28,546.67,550.67,542,550,385000,,,
2016-03-29,538,548.67,538,546.67,308000,,,
2016-03-30,540.67,545.33,536.67,541.33,330000,,,
2016-03-31,546.67,547.33,532,532,418000,,,
2016-04-01,532.67,532.67,515.33,516.67,662000,,,
2016-04-04,519.33,524.67,514,517.33,386000,,,
2016-04-05,518,519.33,509.33,510,715000,,,
2016-04-06,510,515.33,506,509.33,684000,,,
2016-04-07,506.67,517.33,506.67,515.33,463000,,,
2016-04-08,505.33,528,502,523.33,639000,,,
2016-04-11,523.33,524,512,518,402000,,,
2016-04-12,523.33,528,519.33,527.33,372000,,,
2016-04-13,532.67,538,529.33,534.67,392000,,,
2016-04-14,546.67,552,544,552,616000,,,
2016-04-15,548.67,554.67,548.67,552.67,535000,,,
2016-04-18,536,544.67,532.67,541.33,319000,,,
2016-04-19,553.33,558,549.33,557.33,465000,,,
2016-04-20,561.33,565.33,556,559.33,510000,,,
2016-04-21,565.33,570,562.67,570,573000,,,
2016-04-22,571.33,581.33,569.33,581.33,539000,,,
2016-04-25,588.67,588.67,578.67,584.67,579000,,,
2016-04-26,586.67,594.67,580.67,591.33,790000,,,
2016-04-27,591.33,594,586.67,588.67,561000,,,
2016-04-28,593.33,596,578,579.33,737000,,,
2016-05-02,550.67,566,550.67,560,638000,,,
2016-05-06,562.67,570.67,560,563.33,527000,,,
2016-05-09,570,582,570,574,640000,,,
2016-05-10,580.67,604,576.67,604,1118000,,,
2016-05-11,604,622.67,604,612.67,1026000,,,
2016-05-12,610,618,608,616,769000,,,
2016-05-13,616,622,609.33,618.67,555000,,,
2016-05-16,612.67,617.33,606,607.33,661000,,,
2016-05-17,607.33,622.67,604.67,619.33,771000,,,
2016-05-18,619.33,623.33,611.33,616.67,596000,,,
2016-05-19,616.67,620.67,612.67,617.33,491000,,,
2016-05-20,617.33,626,617.33,626,520000,,,
2016-05-23,622.67,622.67,616,618,556000,,,
2016-05-24,618,623.33,610,610.67,628000,,,
2016-05-25,620.67,621.33,610.67,612,418000,,,
2016-05-26,614,620.67,614,618.67,392000,,,
2016-05-27,618.67,623.33,616,622,338000,,,
2016-05-30,623.33,631.33,622,631.33,356000,,,
2016-05-31,631.33,643.33,628,643.33,459000,,,
2016-06-01,640,640,629.33,631.33,432000,,,
2016-06-02,626.67,628.67,609.33,610.67,738000,,,
2016-06-03,614.67,628,614.67,627.33,599000,,,
2016-06-06,618,625.33,613.33,624.67,419000,,,
2016-06-07,624,627.33,620,621.33,642000,,,
2016-06-08,621.33,624.67,615.33,620.67,540000,,,
2016-06-09,616.67,616.67,611.33,614,496000,,,
2016-06-10,610,610,605.33,608,582000,,,
2016-06-13,599.33,599.33,582,583.33,562000,,,
2016-06-14,584,588,580.67,582.67,616000,,,
2016-06-15,582.67,585.33,575.33,576.67,680000,,,
2016-06-16,576.67,577.33,558,559.33,701000,,,
2016-06-17,564.67,574.67,549.33,555.33,1825000,,,
2016-06-20,563.33,581.33,563.33,578.67,611000,,,
2016-06-21,570,580,565.33,578.67,429000,,,
2016-06-22,578.67,578.67,568.67,572,381000,,,
2016-06-23,567.33,570.67,566,570.67,236000,,,
2016-06-24,571.33,576,521.33,524,556000,,,
2016-06-27,536.67,541.33,530,540,512000,,,
2016-06-28,532,543.33,530,538.67,394000,,,
2016-06-29,544.67,567.33,543.33,556.67,937000,,,
2016-06-30,566.67,574.67,562.67,563.33,619000,,,
2016-07-01,563.33,574.67,558.67,568.67,419000,,,
2016-07-04,564.67,564.67,559.33,562,433000,,,
2016-07-05,557.33,564,555.33,561.33,268000,,,
2016-07-06,552.67,552.67,541.33,546.67,630000,,,
2016-07-07,546.67,552,543.33,546,744000,,,
2016-07-08,546.67,551.33,535.33,535.33,609000,,,
2016-07-11,538,554,538,548,600000,,,
2016-07-12,556,565.33,550.67,558.67,869000,,,
2016-07-13,578,578,570,572,516000,,,
2016-07-14,574.67,576,570,572,364000,,,
2016-07-15,576,576,566,570.67,370000,,,
2016-07-19,573.33,578,570.67,574.67,489000,,,
2016-07-20,574,574.67,562,574,373000,,,
2016-07-21,582,589.33,581.33,586.67,694000,,,
2016-07-22,582,586.67,580.67,586.67,504000,,,
2016-07-25,587.33,594,587.33,588.67,303000,,,
2016-07-26,588.67,588.67,578.67,583.33,428000,,,
2016-07-27,591.33,608,588,602.67,587000,,,
2016-07-28,595.33,602.67,591.33,597.33,404000,,,
2016-07-29,596,600,582,594.67,357000,,,
2016-08-01,590.67,590.67,574,585.33,303000,,,
2016-08-02,576.67,583.33,574.67,578,347000,,,
2016-08-03,568,636,560,634,2133000,,,
2016-08-04,633.33,651.33,632,646,1415000,,,
2016-08-05,643.33,644,630,634.67,603000,,,
2016-08-08,641.33,648.67,640,646,541000,,,
2016-08-09,644,658,640.67,658,565000,,,
2016-08-10,656,658.67,652.67,654.67,458000,,,
2016-08-12,659.33,660.67,652,658,511000,,,
2016-08-15,655.33,656,648,649.33,152000,,,
2016-08-16,657.33,657.33,643.33,643.33,384000,,,
2016-08-17,640,643.33,637.33,642,353000,,,
2016-08-18,636.67,636.67,630.67,630.67,318000,,,
2016-08-19,630,638.67,628.67,634.67,325000,,,
2016-08-22,638.67,639.33,630.67,637.33,326000,,,
2016-08-23,633.33,638.67,630.67,634,249000,,,
2016-08-24,634,644.67,634,644.67,179000,,,
2016-08-25,647.33,652.67,643.33,651.33,420000,,,
2016-08-26,653.33,654,644.67,647.33,385000,,,
2016-08-29,658.67,662,651.33,652.67,433000,,,
2016-08-30,658.67,680,656,676.67,1150000,,,
2016-08-31,680,696.67,680,696.67,920000,,,
2016-09-01,684.67,686.67,662.67,673.33,916000,,,
2016-09-02,664,668.67,660.67,664,504000,,,
2016-09-05,668.67,671.33,661.33,666.67,299000,,,
2016-09-06,664.67,671.33,663.33,668.67,254000,,,
2016-09-07,664,668,661.33,666,355000,,,
2016-09-08,668,668,658,662.67,306000,,,
2016-09-09,658,661.33,654.67,658.67,311000,,,
2016-09-12,650.67,654,646.67,649.33,346000,,,
2016-09-13,652.67,660,650.67,658.67,215000,,,
2016-09-14,648.67,656.67,648.67,651.33,396000,,,
2016-09-15,644.67,650.67,643.33,646.67,326000,,,
2016-09-16,647.33,652.67,645.33,648.67,413000,,,
2016-09-20,642.67,656.67,640,652.67,414000,,,
2016-09-21,648,675.33,645.33,674,687000,,,
2016-09-23,678.67,678.67,667.33,671.33,472000,,,
2016-09-26,671.33,671.33,663.33,663.33,253000,,,
2016-09-27,651.33,678.67,650.67,678.67,573000,,,
2016-09-28,672,680,670,680,290000,,,
2016-09-29,686.67,696.67,683.33,692.67,497000,,,
2016-09-30,680,684,677.33,682,241000,,,
2016-10-03,690,692,682,683.33,269000,,,
