Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,UnderLimit
2016-02-04,31200,31200,31000,31000,4,,,
2016-02-05,31000,31100,30250,30500,15,,,
2016-02-08,30300,31000,30300,31000,5,,,
2016-02-09,30500,30500,29620,29740,98,,,
2016-02-10,29740,30250,28760,28880,31,,,
2016-02-12,27730,28460,27730,27880,64,,,
2016-02-15,27890,29320,27890,29320,9,,,
2016-02-16,29520,29520,29200,29200,31,,,
2016-02-17,29010,29010,27900,28090,35,,,
2016-02-18,29000,29200,28810,28810,7,,,
2016-02-19,28710,28710,28710,28710,1,,,
2016-02-22,28800,28800,28800,28800,2,,,
2016-02-23,29160,29160,28800,28800,7,,,
2016-02-24,28800,28800,28800,28800,10,,,
2016-02-25,29120,29160,29120,29160,32,,,
2016-02-26,28940,29890,28940,29510,8,,,
2016-02-29,29250,29360,28800,28800,74,,,
2016-03-01,28800,29300,28800,29300,33,,,
2016-03-02,30000,30150,30000,30150,6,,,
2016-03-03,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-03-04,29340,29340,29340,29340,30,,,
2016-03-07,29350,29350,29350,29350,1,,,
2016-03-08,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-03-09,28950,28950,28950,28950,1,,,
2016-03-10,28860,29110,28860,29060,10,,,
2016-03-11,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-03-14,29250,29700,29250,29700,5,,,
2016-03-15,29330,29330,29320,29320,14,,,
2016-03-16,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-03-17,29370,29370,29370,29370,1,,,
2016-03-18,29560,29560,29210,29230,13,,,
2016-03-22,28900,29010,28900,29010,3,,,
2016-03-23,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-03-24,29430,29500,29430,29500,5,,,
2016-03-25,29450,29450,29450,29450,1,,,
2016-03-28,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-03-29,29880,30200,29880,30050,38,,,
2016-03-30,30050,30050,30050,30050,1,,,
2016-03-31,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-04-01,29420,29420,28870,28870,15,,,
2016-04-04,28540,29650,28540,29650,51,,,
2016-04-05,28830,29130,28830,29130,10,,,
2016-04-06,29130,29130,29130,29130,1,,,
2016-04-07,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-04-08,28560,29130,28500,29130,12,,,
2016-04-11,28980,28980,28980,28980,10,,,
2016-04-12,29300,29300,29300,29300,10,,,
2016-04-13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-04-14,29230,29500,29230,29500,28,,,
2016-04-15,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-04-18,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-04-19,29940,30050,29940,30050,3,,,
2016-04-20,30050,30050,29430,29430,12,,,
2016-04-21,29490,29930,29490,29930,20,,,
2016-04-22,29910,29910,29680,29680,7,,,
2016-04-25,29430,29430,29430,29430,5,,,
2016-04-26,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-04-27,29920,30000,29920,29940,17,,,
2016-04-28,30000,30200,29430,29450,34,,,
2016-05-02,28110,29100,28110,28900,60,,,
2016-05-06,29720,29730,29720,29730,3,,,
2016-05-09,29800,29800,29800,29800,3,,,
2016-05-10,30000,30150,30000,30150,12,,,
2016-05-11,30300,30300,30300,30300,1,,,
2016-05-12,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-05-13,30000,30000,30000,30000,1,,,
2016-05-16,30000,30300,30000,30300,2,,,
2016-05-17,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-05-18,30500,30500,29930,29930,22,,,
2016-05-19,30000,30600,29900,29900,5,,,
2016-05-20,30400,30550,30400,30550,4,,,
2016-05-23,30550,30550,30200,30200,18,,,
2016-05-24,30000,30000,30000,30000,10,,,
2016-05-25,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-05-26,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-05-27,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-05-30,30000,30350,30000,30350,68,,,
2016-05-31,30300,30500,30300,30450,10,,,
2016-06-01,30600,30600,30100,30100,10,,,
2016-06-02,30500,30500,29840,29840,3,,,
2016-06-03,29690,29860,29690,29860,2,,,
2016-06-06,30200,30350,30200,30350,11,,,
2016-06-07,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-06-08,30500,30700,30500,30700,39,,,
2016-06-09,30550,30850,30550,30850,21,,,
2016-06-10,30850,30850,30850,30850,1,,,
2016-06-13,30400,30400,29990,29990,6,,,
2016-06-14,29510,29510,29460,29460,3,,,
2016-06-15,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-06-16,29310,29310,28620,28620,3,,,
2016-06-17,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-06-20,29450,29450,29080,29250,8,,,
2016-06-21,29170,29500,29170,29500,6,,,
2016-06-22,29500,29500,29500,29500,1,,,
2016-06-23,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-06-24,29360,29360,27590,27980,97,,,
2016-06-27,28200,29090,28200,28950,35,,,
2016-06-28,28950,29700,28950,29700,19,,,
2016-06-29,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
2016-06-30,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,,,
