Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
6472,2021-03-31,2021-05-14,2022-03-31,562847000000,-3138000000,-5742000000,-11641000000,-21.92,,836563000000,183751000000,0.204,321.04,36473000000,-17938000000,54671000000,147249000000,0.0,,,,,,,,660000000000,15000000000,10000000000,5000000000,9.41
6472,2022-03-31,2021-07-30,,156623000000,1654000000,2554000000,1184000000,2.23,,840310000000,191922000000,0.208,,12598000000,-3974000000,-15462000000,140748000000,,0.0,,660000000000,15000000000,10000000000,5000000000,9.41,,,,,
6472,2022-03-31,2021-10-29,,,,,,,,,,,,,,,,,,,630000000000,6000000000,5000000000,2000000000,3.77,,,,,
6472,2022-03-31,2021-10-29,,305796000000,1608000000,1702000000,-1048000000,-1.97,,826796000000,189465000000,0.208,,10129000000,-9023000000,-22784000000,125479000000,,0.0,,630000000000,6000000000,5000000000,2000000000,3.77,,,,,
6472,2022-03-31,2022-01-31,,468126000000,2542000000,1778000000,-1508000000,-2.84,,828241000000,195485000000,0.215,,4232000000,-9130000000,-30796000000,113253000000,,0.0,,630000000000,6000000000,5000000000,2000000000,3.77,,,,,
6472,2022-03-31,2022-05-13,2023-03-31,642023000000,6880000000,6815000000,7341000000,13.83,,855483000000,216425000000,0.231,372.7,8956000000,2512000000,-41300000000,121460000000,0.0,,,,,,,,720000000000,23000000000,20000000000,10000000000,18.84
6472,2023-03-31,2022-08-02,,172614000000,-783000000,10000000,-2487000000,-4.69,,895843000000,232544000000,0.238,,8108000000,-4766000000,-106000000,126064000000,,5.0,,720000000000,23000000000,20000000000,10000000000,18.84,,,,,
6472,2023-03-31,2022-10-31,,371702000000,3860000000,3593000000,-1633000000,-3.08,,886071000000,237400000000,0.245,,23018000000,-9470000000,-24998000000,114147000000,,5.0,,770000000000,26000000000,23000000000,12000000000,22.6,,,,,
6472,2023-03-31,2023-02-02,,569422000000,9891000000,7411000000,-754000000,-1.42,,857703000000,222963000000,0.241,,29166000000,-13751000000,-33146000000,105270000000,,5.0,,770000000000,26000000000,23000000000,12000000000,22.6,,,,,
6472,2023-03-31,2023-05-09,,,,,,,,,,,,,,,,,,,770000000000,17000000000,12000000000,10000000000,18.84,,,,,
6472,2023-03-31,2023-05-12,2024-03-31,773960000000,17145000000,12047000000,10367000000,19.53,,869827000000,237425000000,0.254,415.64,34219000000,-13858000000,-33258000000,110675000000,5.0,,,,,,,,810000000000,30000000000,23000000000,11000000000,20.72
6472,2024-03-31,2023-08-02,,200768000000,1490000000,1925000000,1641000000,3.09,,897379000000,257324000000,0.267,,16762000000,-4692000000,-9678000000,117209000000,,10.0,,825000000000,30000000000,23000000000,11000000000,20.72,,,,,
6472,2024-03-31,2023-10-31,,409647000000,6763000000,4883000000,4124000000,7.77,7.63,924239000000,265508000000,0.268,,36333000000,-12156000000,4183000000,144209000000,,10.0,,825000000000,30000000000,23000000000,11000000000,20.72,,,,,
6472,2024-03-31,2024-02-02,,620545000000,15393000000,9781000000,7682000000,14.47,13.78,903236000000,257008000000,0.267,,55131000000,-15073000000,-8177000000,145929000000,,10.0,,830000000000,25000000000,17500000000,9000000000,16.95,,,,,
6472,2024-03-31,2024-05-14,2025-03-31,836285000000,28149000000,20001000000,10568000000,19.91,18.65,910252000000,280822000000,0.29,497.83,65103000000,-24970000000,-30212000000,127266000000,10.0,,,,,,,,860000000000,32000000000,22000000000,5000000000,9.42
6472,2025-03-31,2024-08-02,,210809000000,4532000000,2200000000,170000000,0.32,0.27,935873000000,294116000000,0.296,,926000000,-5492000000,10543000000,137580000000,,11.0,,860000000000,32000000000,22000000000,5000000000,9.42,,,,,
6472,2025-03-31,2024-10-31,,413947000000,9949000000,3483000000,-2125000000,-4.01,,887852000000,269077000000,0.285,,15339000000,-12571000000,8599000000,137368000000,,11.0,,815000000000,22000000000,9000000000,-16000000000,-30.18,,,,,
6472,2025-03-31,2025-02-04,,615518000000,14213000000,5787000000,-8251000000,-15.56,,887614000000,271576000000,0.288,,21851000000,-16165000000,-7550000000,128185000000,,11.0,,815000000000,22000000000,9000000000,-16000000000,-30.18,,,,,
6472,2025-03-31,2025-05-14,2026-03-31,825587000000,22959000000,10475000000,-23801000000,-44.9,,856425000000,248699000000,0.272,439.89,45623000000,-25960000000,-18708000000,127712000000,11.0,,,,,,,,790000000000,24000000000,11000000000,-6000000000,-113.33
6472,2025-03-31,2025-05-15,2026-03-31,825587000000,22959000000,10475000000,-23801000000,-44.9,,856425000000,248699000000,0.272,439.89,45623000000,-25960000000,-18708000000,127712000000,11.0,,,,,,,,790000000000,24000000000,11000000000,-6000000000,-11.33
6472,2026-03-31,2025-08-04,,199039000000,6977000000,4032000000,1190000000,2.25,1.99,854890000000,246440000000,0.27,,18600000000,-7791000000,-1396000000,136789000000,,,,790000000000,24000000000,11000000000,-6000000000,-11.33,,,,,
6472,2026-03-31,2025-10-31,,402256000000,12865000000,8727000000,3100000000,5.86,5.19,862913000000,256534000000,0.279,,28866000000,-14592000000,-7680000000,136583000000,,11.0,,805000000000,26000000000,13000000000,-4000000000,-7.56,,,,,
6472,2026-03-31,2026-02-03,,603339000000,19301000000,13977000000,3720000000,6.93,,887593000000,294136000000,0.312,,35629000000,-22992000000,-5544000000,142049000000,,11.0,,805000000000,26000000000,13000000000,-4000000000,-7.27,,,,,
