Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
3994,2021-11-30,2021-04-13,,3466000000,80000000,74000000,64000000,1.35,1.3,21246000000,10350000000,0.459,,,,,,,0.0,,,,,,,,,,,
3994,2021-11-30,2021-07-15,,7460000000,44000000,28000000,20000000,0.43,0.41,24251000000,11452000000,0.425,,-996814000,-3444478000,2269367000,6558528000,,0.0,,,,,,,,,,,
3994,2021-11-30,2021-10-15,,11293000000,-401000000,-751000000,-758000000,-15.74,,56407000000,42453000000,0.729,,,,,,,0.0,,,,,,,,,,,
3994,2021-11-30,2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994,2021-11-30,2022-01-14,2022-11-30,15632000000,-1062000000,-1432000000,-1482000000,-29.97,,56942000000,42332000000,0.711,759.04,-2327000000,-5199000000,34797000000,36020000000,0.0,,,,,,,,,,,,
3994,2022-11-30,2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994,2022-11-30,2022-04-13,,4755000000,-1638000000,-1655000000,-1668000000,-31.28,,59563000000,40339000000,0.643,,,,,,,0.0,,,,,,,,,,,
3994,2022-11-30,2022-07-13,,9841000000,-3796000000,-3875000000,-3887000000,-72.78,,66422000000,40048000000,0.564,,-2762441000,-10988612000,7954495000,30238339000,,0.0,,,,,,,,,,,
3994,2022-11-30,2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994,2022-11-30,2022-10-17,,15296000000,-6306000000,-7356000000,-7345000000,-137.32,,65364000000,37241000000,0.53,,,,,,,0.0,,,,,,,,,,,
3994,2022-11-30,2023-01-16,2023-11-30,21477000000,-8469000000,-9581000000,-9449000000,-176.44,,65986000000,35082000000,0.494,606.33,-4124000000,-14780000000,9074000000,26309000000,0.0,,,,,,,,,,,,
3994,2023-11-30,2023-04-14,,6791000000,-1625000000,-1670000000,-1705000000,-31.73,,70541000000,34108000000,0.437,,,,,,,0.0,,,,,,,,,,,
3994,2023-11-30,2023-07-18,,14087000000,-3207000000,-3374000000,-3381000000,-62.78,,71153000000,33634000000,0.423,,-4131651000,-2791087000,7583308000,26940763000,,0.0,,,,,,,,,,,
3994,2023-11-30,2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994,2023-11-30,2023-10-13,,21584000000,-4564000000,-4943000000,-4935000000,-91.51,,85934000000,35594000000,0.338,,,,,,,0.0,,,,,,,,,,,
3994,2023-11-30,2024-01-12,2024-11-30,30380000000,-6329000000,-6738000000,-6315000000,-116.98,,88282000000,34660000000,0.315,514.09,2460000000,-7448000000,17462000000,38818000000,0.0,,,,,,,,,,,,
3994,2024-11-30,2024-04-12,,9544000000,-992000000,-1135000000,-1318000000,-24.33,,84939000000,34105000000,0.314,,,,,,,0.0,,,,,,,,,,,
3994,2024-11-30,2024-07-12,,19864000000,-1827000000,-2145000000,-2597000000,-47.83,,85320000000,33463000000,0.313,,-6676913000,-4710467000,263541000,28006049000,,0.0,,,,,,,,,,,
3994,2024-11-30,2024-10-15,,29673000000,-2837000000,-3287000000,-3712000000,-68.28,,87548000000,33431000000,0.284,,,,,,,0.0,,,,,,,,,,,
3994,2024-11-30,2025-01-14,2025-11-30,40363000000,-4735000000,-5353000000,-6330000000,-116.32,,106191000000,44675000000,0.333,647.62,-4761000000,-9505000000,20346000000,45211000000,0.0,,,,,,,,,,,,
3994,2025-11-30,2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994,2025-11-30,2025-04-14,,11706000000,-580000000,-730000000,-1119000000,-20.44,,108391000000,50701000000,0.343,,,,,,,0.0,,,,,,,,,,,
3994,2025-11-30,2025-07-15,,23237000000,-1592000000,-1897000000,-2197000000,-39.97,,109139000000,50608000000,0.331,,-1848604000,-8327538000,3525507000,38553023000,,0.0,,,,,,,,,,,
3994,2025-11-30,2025-10-15,,35306000000,-1979000000,-2375000000,-3384000000,-61.43,,112525000000,51097000000,0.314,,,,,,,0.0,,,,,,,,,,,
3994,2025-11-30,2025-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994,2025-11-30,2026-01-14,2026-11-30,50349000000,-2653000000,-3877000000,1587000000,28.78,28.58,127567000000,55865000000,0.32,738.62,1496000000,-10339000000,4570000000,40934000000,0.0,,,,,,,,,,,,
3994,2026-11-30,2026-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
