DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-02,15:30:00,9104,,,,,,,,
2021-04-30,12:00:00,9104,90052000000,752.98,4830.12,,0.276,98898000000,-54660000000,-61705000000
2021-06-21,15:15:00,9104,,,,,,,,
2021-07-30,12:00:00,9104,104147000000,870.21,,550.0,0.317,,,
2021-10-29,12:00:00,9104,104147000000,870.21,,550.0,0.317,,,
2021-10-29,12:00:00,9104,274848000000,2294.95,,800.0,0.361,60296000000,-3583000000,17273000000
2022-01-31,12:00:00,9104,487187000000,4065.12,,1050.0,0.414,,,
2022-04-28,12:00:00,9104,708819000000,1970.16,3532.32,,0.474,307637000000,-107450000000,-191784000000
2022-07-21,15:00:00,9104,,,,,,,,
2022-07-29,12:00:00,9104,285779000000,791.96,,500.0,0.461,,,
2022-10-31,12:00:00,9104,601523000000,1666.39,,550.0,0.518,171599000000,-57041000000,-119046000000
2023-01-31,12:00:00,9104,723245000000,2003.07,,560.0,0.541,,,
2023-04-28,12:00:00,9104,796060000000,2204.04,5322.35,,0.54,549925000000,-281995000000,-281709000000
2023-07-31,12:00:00,9104,91155000000,251.98,,180.0,0.536,,,
2023-10-31,12:00:00,9104,,,,190.0,,,,
2023-10-31,12:00:00,9104,150792000000,416.74,,190.0,0.546,203934000000,-177575000000,-11948000000
2023-11-01,12:00:00,9104,,,,190.0,,,,
2024-01-31,12:00:00,9104,203604000000,562.61,,200.0,0.58,,,
2024-04-30,12:00:00,9104,261651000000,722.85,6496.19,,0.571,314202000000,-355239000000,49725000000
2024-07-31,12:00:00,9104,107103000000,295.58,,280.0,0.579,,,
2024-10-31,12:00:00,9104,,,,300.0,,,,
2024-10-31,12:00:00,9104,246697000000,680.73,,300.0,0.595,173249000000,-142917000000,-9323000000
2025-01-31,12:00:00,9104,368133000000,1019.35,,340.0,0.56,,,
2025-04-30,12:00:00,9104,425492000000,1186.6,7687.49,,0.539,360499000000,-450803000000,117060000000
2025-08-01,12:00:00,9104,52817000000,152.89,,175.0,0.473,,,
2025-08-01,12:00:00,9104,,,,175.0,,,,
2025-11-04,12:00:00,9104,116209000000,337.25,,200.0,0.479,262707000000,-514275000000,242726000000
2025-11-04,12:00:00,9104,,,,200.0,,,,
2026-01-30,12:00:00,9104,180511000000,524.36,,200.0,0.481,,,
2026-01-30,12:00:00,9104,,,,,,,,
