Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
4063,2021-03-31,2021-04-28,2022-03-31,1496906000000,392213000000,405101000000,293732000000,706.76,706.26,3380615000000,2886625000000,0.832,6769.72,401176000000,-250719000000,-91123000000,801596000000,250.0,,,,,,,,,,,,
4063,2022-03-31,2021-07-27,,434239000000,128818000000,130831000000,95725000000,230.35,230.13,3499402000000,3009819000000,0.837,7051.66,,,,,,300.0,,1700000000000,485000000000,500000000000,363000000000,873.49,,,,,
4063,2022-03-31,2021-10-27,,941341000000,298403000000,303522000000,220904000000,531.67,531.19,3676888000000,3140298000000,0.831,7358.44,266148000000,-164547000000,-61985000000,854774000000,,300.0,,1700000000000,485000000000,500000000000,363000000000,873.49,,,,,
4063,2022-03-31,2022-01-27,,1483703000000,480112000000,490304000000,353135000000,850.0,849.18,3759139000000,3228903000000,0.835,7553.27,,,,,,400.0,,2040000000000,675000000000,690000000000,500000000000,1203.54,,,,,
4063,2022-03-31,2022-04-27,2023-03-31,2074428000000,676322000000,694434000000,500117000000,1203.8,1202.75,4053412000000,3429208000000,0.821,8007.24,553528000000,-253723000000,-122504000000,1008925000000,400.0,,,,,,,,,,,,
4063,2023-03-31,2022-07-27,,656707000000,249620000000,262633000000,184124000000,446.28,445.98,4173111000000,3532947000000,0.818,8333.36,,,,,,450.0,,2550000000000,825000000000,840000000000,588000000000,1432.59,,,,,
4063,2023-03-31,2022-10-27,,1409336000000,536237000000,559026000000,392324000000,955.99,955.41,4612477000000,3901473000000,0.817,9268.71,368593000000,-58989000000,-278464000000,1130933000000,,450.0,,2700000000000,940000000000,980000000000,680000000000,1670.65,,,,,
4063,2023-03-31,2023-01-26,,2163237000000,808227000000,824217000000,578519000000,1416.49,1415.68,4771523000000,4086676000000,0.825,9749.12,,,,,,500.0,,2780000000000,995000000000,1020000000000,708000000000,1738.83,,,,,
4063,2023-03-31,2023-04-27,2024-03-31,2808824000000,998202000000,1020211000000,708238000000,347.84,347.61,4730394000000,4026209000000,0.818,1918.37,788013000000,-186488000000,-423559000000,1247344000000,500.0,,,,,,,,,,,,
4063,2024-03-31,2023-07-27,,599201000000,190820000000,217115000000,153633000000,76.13,76.06,4757574000000,4102042000000,0.828,1950.53,,,,,,100.0,,2300000000000,700000000000,760000000000,520000000000,257.6,,,,,
4063,2024-03-31,2023-10-27,,1195902000000,381919000000,427508000000,301439000000,149.65,149.52,5092909000000,4375061000000,0.829,2106.41,380547000000,-695226000000,-193471000000,785544000000,,100.0,,2300000000000,700000000000,760000000000,520000000000,257.6,,,,,
4063,2024-03-31,2024-01-26,,1823403000000,559528000000,615732000000,406529000000,202.44,202.23,5123785000000,4426643000000,0.831,2133.98,,,,,,100.0,,2300000000000,700000000000,760000000000,520000000000,257.6,,,,,
4063,2024-03-31,2024-04-25,2025-03-31,2414937000000,701038000000,787228000000,520140000000,259.41,259.13,5147974000000,4424073000000,0.827,2133.17,755183000000,-1099208000000,-369466000000,590135000000,100.0,,,,,,,,,,,,
4063,2025-03-31,2024-07-26,,597930000000,191023000000,219810000000,144021000000,72.21,72.13,5327614000000,4635732000000,0.836,2234.22,,,,,,106.0,,2500000000000,735000000000,820000000000,533000000000,268.0,,,,,
4063,2025-03-31,2024-10-25,,1266460000000,405703000000,442924000000,294117000000,147.83,147.68,5636024000000,4886187000000,0.833,2372.09,451889000000,-235235000000,-230293000000,604073000000,,106.0,,2500000000000,735000000000,820000000000,533000000000,268.0,,,,,
4063,2025-03-31,2025-01-29,,1929698000000,584439000000,644231000000,432539000000,217.76,217.53,5285914000000,4573223000000,0.831,2219.61,,,,,,106.0,,2500000000000,735000000000,820000000000,533000000000,268.0,,,,,
4063,2025-03-31,2025-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4063,2025-03-31,2025-04-25,2026-03-31,2561249000000,742105000000,820543000000,534021000000,269.52,269.28,5636601000000,4837585000000,0.826,2375.48,881934000000,-142553000000,-454905000000,882736000000,106.0,,,,,,,,,,,,
4063,2026-03-31,2025-07-24,,628549000000,166803000000,181621000000,126428000000,66.48,66.45,5242699000000,4314219000000,0.79,2210.59,,,,,,106.0,,2400000000000,635000000000,700000000000,470000000000,250.0,,,,,
4063,2026-03-31,2025-10-24,,1284522000000,333935000000,367339000000,257844000000,136.61,136.56,5356717000000,4381431000000,0.787,2251.21,347066000000,-300701000000,-303317000000,620121000000,,106.0,,2400000000000,635000000000,700000000000,470000000000,250.0,,,,,
4063,2026-03-31,2026-01-27,,1934000000000,498026000000,557414000000,384320000000,204.12,203.98,5451351000000,4489768000000,0.792,2303.72,,,,,,106.0,,2400000000000,635000000000,700000000000,470000000000,250.0,,,,,
