DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-13,15:00:00,8336,8022000000,239.57,7439.22,,0.046,425702000000,-57734000000,-2685000000
2021-08-03,15:00:00,8336,3678000000,109.84,,80.0,0.046,,,
2021-11-11,15:00:00,8336,4985000000,148.87,,90.0,0.047,,,
2022-02-03,15:00:00,8336,6433000000,192.09,,90.0,0.046,,,
2022-05-13,15:01:00,8336,9001000000,268.78,7478.89,,0.045,124330000000,-70810000000,-2663000000
2022-08-02,15:00:00,8336,2284000000,68.2,,80.0,0.045,,,
2022-10-31,16:00:00,8336,,,,,,,,
2022-11-10,15:00:00,8336,5272000000,157.47,,90.0,0.046,,,
2023-02-03,15:00:00,8336,8430000000,251.85,,90.0,0.046,,,
2023-05-11,15:00:00,8336,10865000000,324.62,7557.42,,0.047,-225615000000,-77621000000,-3244000000
2023-08-02,15:00:00,8336,2820000000,84.48,,100.0,0.048,,,
2023-10-31,15:00:00,8336,,,,,,,,
2023-11-09,15:00:00,8336,6045000000,181.86,,100.0,0.048,,,
2024-02-02,15:00:00,8336,8429000000,254.0,,100.0,0.048,,,
2024-05-10,15:00:00,8336,11264000000,339.68,8285.94,,0.05,-29676000000,-219482000000,-4191000000
2024-07-31,12:20:00,8336,3803000000,114.97,,110.0,0.05,,,
2024-10-31,12:15:00,8336,,,,,,,,
2024-10-31,12:15:00,8336,,,,120.0,,,,
2024-11-08,13:00:00,8336,7036000000,212.71,,120.0,0.05,,,
2025-01-31,12:20:00,8336,10193000000,308.13,,120.0,0.05,,,
2025-05-09,12:20:00,8336,13146000000,397.42,8098.88,,0.048,-28303000000,-37568000000,-3809000000
2025-07-31,12:15:00,8336,4172000000,126.12,,140.0,0.05,,,
2025-11-07,12:10:00,8336,8107000000,245.15,,160.0,0.05,,,
2026-01-30,12:20:00,8336,12804000000,387.26,,160.0,0.049,,,
