Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
2121,2021-03-31,2021-05-07,2022-03-31,119319000000,22928000000,23019000000,15692000000,208.24,205.72,226356000000,189590000000,0.832,2497.55,34672000000,-7159000000,-3141000000,149812000000,110.0,,,,,,,,,,12000000000,,
2121,2022-03-31,2021-08-06,,28366000000,6011000000,6023000000,4054000000,54.04,53.32,217762000000,188043000000,0.856,,-3972000000,-2815000000,-11093000000,131831000000,,110.0,,,,,,,,,,,
2121,2021-03-31,2021-08-10,2022-03-31,119319000000,22928000000,23019000000,15692000000,208.24,205.72,226356000000,189590000000,0.832,2497.55,34672000000,-7159000000,-3141000000,149812000000,110.0,,,,,,,,,,,,
2121,2022-03-31,2021-11-05,,51587000000,7382000000,7504000000,6167000000,83.11,81.93,215166000000,185141000000,0.852,,122000000,-12159000000,-11632000000,126059000000,,110.0,,,,,,,,,,,
2121,2022-03-31,2022-02-04,,81089000000,9243000000,9650000000,7428000000,100.86,99.39,213885000000,182043000000,0.844,,-1698000000,-13802000000,-14864000000,119399000000,,110.0,,,,,,,,,,,
2121,2022-03-31,2022-04-22,,,,,,,,,,,,,,,,,,,118000000000,16000000000,17000000000,10000000000,135.2,,,,,
2121,2022-03-31,2022-05-13,2023-03-31,118099000000,16069000000,17026000000,10262000000,139.85,137.78,218056000000,186056000000,0.84,2524.13,3098000000,-17887000000,-16627000000,118433000000,110.0,,,,,,,,120000000000,8500000000,8500000000,5000000000,68.91
2121,2023-03-31,2022-08-05,,31022000000,5557000000,5326000000,3524000000,48.57,47.82,215217000000,185626000000,0.849,,2147000000,-1333000000,-3434000000,116117000000,,110.0,,120000000000,8500000000,8500000000,5000000000,68.91,,,,,
2121,2023-03-31,2022-11-04,,65734000000,11249000000,10521000000,1960000000,26.96,26.67,221903000000,184517000000,0.82,,8073000000,-4169000000,-3906000000,118893000000,,110.0,,133000000000,15500000000,15500000000,5000000000,68.75,,,,,
2121,2023-03-31,2023-02-10,,104802000000,19073000000,12873000000,2020000000,27.76,27.45,220153000000,180392000000,0.808,,7615000000,-5557000000,-6843000000,113843000000,,110.0,,142000000000,23000000000,16500000000,5000000000,68.68,,,,,
2121,2023-03-31,2023-05-12,2024-03-31,146867000000,24820000000,18250000000,5161000000,70.87,70.08,222321000000,183463000000,0.814,2480.51,15751000000,-7350000000,-8326000000,118703000000,110.0,,,,,,,,138000000000,12000000000,11000000000,7500000000,102.78
2121,2024-03-31,2023-08-04,,29207000000,2245000000,2344000000,1315000000,18.12,17.91,211259000000,177910000000,0.831,,-8222000000,-2595000000,-6350000000,101768000000,,110.0,,138000000000,12000000000,11000000000,7500000000,102.78,,,,,
2121,2024-03-31,2023-11-10,,63968000000,3811000000,3760000000,2250000000,31.37,31.0,208815000000,174952000000,0.826,,-504000000,-3663000000,-11429000000,103443000000,,110.0,,138000000000,12000000000,11000000000,7500000000,102.78,,,,,
2121,2024-03-31,2024-02-09,,105209000000,10475000000,8176000000,4667000000,65.5,64.74,210100000000,173379000000,0.813,,-727000000,-4029000000,-13884000000,100290000000,,110.0,,146000000000,18000000000,15000000000,9500000000,133.29,,,,,
2121,2023-03-31,2024-05-10,2025-03-31,146868000000,19177000000,15669000000,7082000000,99.71,98.56,207342000000,175730000000,0.836,2466.38,9181000000,-6852000000,-15730000000,105688000000,110.0,,,,,,,,147000000000,18500000000,17500000000,12000000000,170.67
2121,2025-03-31,2024-08-13,,30087000000,2787000000,3263000000,2235000000,31.85,31.48,204249000000,173124000000,0.836,,-3589000000,-7324000000,-3829000000,91192000000,,110.0,,147000000000,18500000000,17500000000,12000000000,170.67,,,,,
2121,2025-03-31,2025-01-14,,68820000000,8748000000,9016000000,5227000000,74.94,74.06,213259000000,175500000000,0.811,,8541000000,-6947000000,-3058000000,104130000000,,110.0,,147000000000,18500000000,17500000000,12000000000,170.67,,,,,
2121,2025-03-31,2025-02-13,,110352000000,17030000000,16735000000,10416000000,150.38,148.62,220445000000,175545000000,0.785,,13733000000,-8748000000,-7893000000,102834000000,,110.0,,153000000000,26500000000,25500000000,17500000000,252.65,,,,,
2121,2025-03-31,2025-05-14,2026-03-31,154847000000,26600000000,26511000000,17601000000,255.43,252.43,225544000000,181333000000,0.794,2641.26,27476000000,-14490000000,-10378000000,108174000000,120.0,,,,,,,,155000000000,20000000000,19000000000,13000000000,191.84
2121,2026-03-31,2025-07-31,,31323000000,2677000000,2023000000,1414000000,20.92,20.67,215027000000,177947000000,0.817,,-13892000000,-3640000000,-4077000000,86444000000,,120.0,,155000000000,20000000000,19000000000,13000000000,191.84,,,,,
2121,2026-03-31,2025-11-14,,67428000000,7214000000,7215000000,4902000000,72.91,72.11,247104000000,176088000000,0.705,,-4082000000,-30262000000,11129000000,85290000000,,120.0,,168000000000,20000000000,19000000000,13000000000,193.34,,,,,
2121,2026-03-31,2026-01-30,,116425000000,13168000000,15090000000,10562000000,158.57,156.88,262287000000,175541000000,0.663,,-361000000,-33855000000,15171000000,90168000000,,120.0,,168000000000,20000000000,19000000000,13000000000,193.34,,,,,
