DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-07,12:30:00,8053,-153067000000,-122.42,2022.83,,0.313,467097000000,-120107000000,-466368000000
2021-08-04,12:30:00,8053,107302000000,85.81,,70.0,0.316,53208000000,-2913000000,-13090000000
2021-11-04,13:00:00,8053,241036000000,192.75,,90.0,0.319,90170000000,-15772000000,-6086000000
2022-02-04,13:00:00,8053,335131000000,267.99,,110.0,0.32,42746000000,-16810000000,-14345000000
2022-05-10,13:00:00,8053,463694000000,370.79,2558.24,,0.334,194066000000,49039000000,-139924000000
2022-08-03,13:00:00,8053,155228000000,124.12,,90.0,0.35,76463000000,-64633000000,-95933000000
2022-11-04,14:00:00,8053,350213000000,280.01,,115.0,0.368,165220000000,-46247000000,-244240000000
2023-02-06,13:00:00,8053,464259000000,371.19,,115.0,0.36,118247000000,-88215000000,-107197000000
2023-05-09,14:00:00,8053,565178000000,452.51,3062.59,,0.374,232801000000,-91525000000,-250459000000
2023-08-03,13:00:00,8053,129420000000,105.6,,120.0,0.385,153048000000,-60794000000,-71352000000
2023-11-02,14:30:00,8053,284885000000,232.76,,125.0,0.406,332057000000,-106875000000,-261494000000
2024-02-05,14:00:00,8053,404106000000,330.32,,125.0,0.396,378733000000,-191648000000,-227894000000
2024-05-02,14:15:00,8053,386352000000,315.87,3683.06,,0.403,608850000000,-219210000000,-415478000000
2024-05-08,16:00:00,8053,386352000000,315.87,3638.06,,0.403,608850000000,-219210000000,-415478000000
2024-07-31,13:00:00,8053,126319000000,103.86,,130.0,0.403,105328000000,-86244000000,-1100000000
2024-10-31,13:00:00,8053,253963000000,209.33,,130.0,0.404,187665000000,-74692000000,-95951000000
2025-02-04,13:00:00,8053,416464000000,343.54,,130.0,0.389,258307000000,-416908000000,170429000000
2025-05-01,13:00:00,8053,561859000000,463.66,3841.68,,0.4,612281000000,-461386000000,-247382000000
2025-07-31,13:00:00,8053,170870000000,141.18,,140.0,0.403,120078000000,-12408000000,-60296000000
2025-10-31,13:00:00,8053,301235000000,249.11,,140.0,0.408,262164000000,-21413000000,-209347000000
2026-02-04,13:00:00,8053,408455000000,338.72,,140.0,0.35,247539000000,-103288000000,-123853000000
