DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-12,13:00:00,2384,2220000000,55.91,,43.0,0.197,,,
2021-05-25,13:00:00,2384,,,,,,,,
2021-08-06,13:00:00,2384,7809000000,196.61,,54.0,0.219,,,
2021-11-10,13:00:00,2384,9769000000,245.98,,54.0,0.222,,,
2022-02-10,13:00:00,2384,10790000000,271.67,1527.58,,0.219,27472000000,-22343000000,-9278000000
2022-05-13,13:00:00,2384,3170000000,79.82,,59.0,0.216,,,
2022-08-05,13:00:00,2384,1895000000,47.73,,59.0,0.212,,,
2022-11-10,13:00:00,2384,4382000000,110.33,,59.0,0.214,,,
2023-01-18,15:00:00,2384,,,,,,,,
2023-02-10,13:00:00,2384,11732000000,295.39,1772.04,,0.237,22407000000,-15895000000,489000000
2023-05-12,13:00:00,2384,6811000000,171.51,,65.0,0.245,,,
2023-08-09,13:00:00,2384,8186000000,206.13,,65.0,0.252,,,
2023-11-10,13:00:00,2384,9384000000,236.29,,65.0,0.25,,,
2024-02-14,13:00:00,2384,10056000000,253.2,2003.63,,0.264,14113000000,-10184000000,-7647000000
2024-05-10,13:00:00,2384,4885000000,123.0,,70.0,0.26,,,
2024-08-08,13:00:00,2384,6456000000,162.56,,70.0,0.27,,,
2024-11-12,13:00:00,2384,7553000000,190.18,,70.0,0.279,,,
2025-02-14,13:00:00,2384,9619000000,242.19,2221.18,,0.278,15807000000,-16723000000,-1293000000
2025-05-14,13:00:00,2384,1132000000,28.52,,85.0,0.268,,,
2025-08-08,13:00:00,2384,2760000000,69.5,,85.0,0.268,,,
2025-11-12,13:00:00,2384,9625000000,242.34,,85.0,0.284,,,
2026-02-13,13:00:00,2384,11783000000,296.69,2435.25,,0.279,35432000000,-28542000000,-14853000000
