DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-28,15:00:00,2433,,,,,,,,
2021-05-13,15:00:00,2433,26479000000,70.92,884.69,,0.351,36212000000,-9831000000,-12767000000
2021-08-06,12:00:00,2433,6238000000,16.7,,30.0,0.374,5232000000,-2815000000,4031000000
2021-11-11,15:00:00,2433,14557000000,38.97,,30.0,0.369,31758000000,-9599000000,2601000000
2022-02-09,15:30:00,2433,23103000000,61.84,,32.0,0.357,12027000000,-17822000000,5636000000
2022-05-12,15:00:00,2433,55179000000,147.7,957.72,,0.34,20852000000,-11292000000,-8698000000
2022-08-09,12:00:00,2433,4582000000,12.26,,32.0,0.377,25895000000,-3104000000,-14415000000
2022-11-10,15:00:00,2433,11719000000,31.36,,32.0,0.379,47616000000,-18850000000,-14412000000
2023-02-09,15:00:00,2433,20156000000,53.95,,32.0,0.361,50998000000,-26989000000,-24458000000
2023-05-11,15:00:00,2433,31010000000,83.16,986.05,,0.355,38035000000,-32792000000,-28839000000
2023-08-09,15:00:00,2433,-793000000,-2.16,,32.0,0.384,9438000000,-3329000000,-9048000000
2023-11-13,16:00:00,2433,-10872000000,-29.6,,32.0,0.378,-23587000000,-11465000000,26859000000
2024-02-08,15:00:00,2433,-5306000000,-14.45,,32.0,0.354,-18712000000,-13066000000,40284000000
2024-02-20,14:30:00,2433,,,,,,,,
2024-06-04,15:00:00,2433,24923000000,67.87,1048.61,,0.372,9883000000,6329000000,1097000000
2024-08-08,12:00:00,2433,317000000,0.87,,32.0,0.403,,,
2024-11-13,15:30:00,2433,-4989000000,-13.59,,32.0,0.414,1476000000,-13462000000,-16876000000
2025-02-12,13:00:00,2433,256000000,0.7,,32.0,0.393,,,
2025-05-13,12:00:00,2433,10768000000,29.32,1062.25,,0.372,82446000000,-13529000000,-45848000000
2025-08-06,13:00:00,2433,-1816000000,-4.95,,32.0,0.436,,,
2025-11-13,12:00:00,2433,310000000,0.85,,32.0,0.435,-53351000000,-18833000000,-10348000000
2026-02-12,16:00:00,2433,10371000000,28.38,,32.0,0.379,,,
