Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
6890,2021-03-31,2021-05-14,2022-03-31,91312000000,8730000000,7317000000,7371000000,198.44,179.37,177189000000,78239000000,0.379,1803.03,13212000000,-20897000000,21694000000,30202000000,30.0,,,,,,,,105000000000,15000000000,13600000000,7800000000,209.09
6890,2022-03-31,2021-06-02,,,,,,,,,,,,,,,,,,,105000000000,15000000000,13600000000,12300000000,329.71,,,,,
6890,2021-03-31,2021-06-08,2022-03-31,91312000000,9640000000,8227000000,8280000000,222.93,201.51,177189000000,78239000000,0.379,1803.03,13217000000,-20879000000,21694000000,30202000000,30.0,,,,,,,,105000000000,15000000000,13600000000,7800000000,209.09
6890,2022-03-31,2021-08-13,,27659000000,4817000000,6508000000,9078000000,243.85,219.84,208935000000,105722000000,0.408,2288.12,,,,,,46.0,,115000000000,20000000000,20000000000,20000000000,534.63,,,,,
6890,2022-03-31,2021-11-12,,59826000000,10733000000,12493000000,17268000000,460.57,417.89,227405000000,124880000000,0.431,2521.86,6369969000,-8226444000,18274842000,48210012000,,46.0,,125000000000,22500000000,23500000000,23500000000,604.7,,,,,
6890,2022-03-31,2021-11-12,,,,,,,,,,,,,,,,,,,125000000000,22500000000,23500000000,23500000000,604.7,,,,,
6890,2022-03-31,2022-02-14,,93981000000,16184000000,18188000000,21445000000,558.42,513.12,251446000000,149427000000,0.483,2738.92,,,,,,46.0,,125000000000,22500000000,23500000000,23500000000,588.82,,,,,
6890,2022-03-31,2022-05-16,2023-03-31,133821000000,22600000000,25994000000,26659000000,668.06,619.28,264772000000,160957000000,0.495,2940.93,17833000000,-29399000000,30601000000,52579000000,50.0,,,,,,,,180000000000,30000000000,28000000000,17000000000,380.78
6890,2023-03-31,2022-08-12,,43386000000,7791000000,10204000000,7355000000,164.78,156.9,315282000000,197378000000,0.489,3393.73,,,,,,70.0,,195000000000,32500000000,34000000000,20000000000,440.15,,,,,
6890,2023-03-31,2022-11-14,,97505000000,17061000000,23554000000,15979000000,352.88,340.76,370333000000,225026000000,0.473,3742.56,20988000000,-28783000000,32461000000,83770000000,,100.0,,200000000000,34000000000,39000000000,24000000000,521.01,,,,,
6890,2023-03-31,2023-02-14,,155690000000,26743000000,35281000000,23737000000,518.21,506.07,421896000000,259247000000,0.453,4083.88,,,,,,100.0,,200000000000,34000000000,40000000000,25000000000,542.73,,,,,
6890,2023-03-31,2023-05-15,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,
6890,2023-03-31,2023-05-15,2024-03-31,210810000000,35042000000,42448000000,29702000000,644.81,633.15,410648000000,249656000000,0.447,3916.07,43024000000,-68760000000,68718000000,95905000000,105.0,,,,,,,,220000000000,32500000000,30000000000,18000000000,382.88
6890,2024-03-31,2023-08-14,,52261000000,7113000000,7628000000,4346000000,92.64,91.42,460520000000,257512000000,0.41,4026.68,,,,,,100.0,,220000000000,32500000000,30000000000,18000000000,382.88,,,,,
6890,2024-03-31,2023-11-14,,105494000000,13035000000,15217000000,8390000000,178.78,166.46,476576000000,271834000000,0.42,4255.4,6789000000,-29101000000,41659000000,119666000000,,100.0,,220000000000,27000000000,28000000000,15000000000,319.07,,,,,
6890,2024-03-31,2024-02-14,,168266000000,20926000000,23266000000,13464000000,286.76,261.82,508676000000,282249000000,0.412,4457.19,,,,,,100.0,,220000000000,25000000000,26000000000,15000000000,319.07,,,,,
6890,2024-03-31,2024-05-15,2025-03-31,222430000000,24872000000,26537000000,15154000000,322.65,291.99,510026000000,278166000000,0.401,4348.01,28720000000,-92400000000,60419000000,96806000000,100.0,,,,,,,,235000000000,26000000000,26000000000,16000000000,340.34
6890,2025-03-31,2024-08-14,,61110000000,7015000000,8217000000,4849000000,103.16,90.75,552728000000,299402000000,0.394,4635.52,,,,,,100.0,,235000000000,26000000000,26000000000,16000000000,340.29,,,,,
6890,2025-03-31,2024-11-14,,135157000000,14251000000,15470000000,9190000000,195.47,171.96,592790000000,324580000000,0.401,5059.77,4151000000,-17736000000,12169000000,104368000000,,110.0,,265000000000,26000000000,26000000000,16000000000,340.29,,,,,
6890,2025-03-31,2025-02-14,,202365000000,19696000000,20516000000,12612000000,268.27,235.31,565736000000,297379000000,0.382,4617.45,,,,,,110.0,,265000000000,26000000000,26000000000,16000000000,340.67,,,,,
6890,2025-03-31,2025-03-19,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,
6890,2025-03-31,2025-05-15,2026-03-31,274390000000,24089000000,25558000000,15692000000,334.13,293.04,600593000000,323549000000,0.394,5058.27,26066000000,-39627000000,18965000000,108899000000,141.0,,,,,,,,285000000000,28000000000,26000000000,16000000000,341.73
6890,2026-03-31,2025-08-14,,68899000000,6672000000,5864000000,2674000000,57.13,49.87,580964000000,306706000000,0.384,4769.07,,,,,,148.0,,285000000000,28000000000,26000000000,16000000000,341.73,,,,,
6890,2026-03-31,2025-11-14,,140980000000,14333000000,12923000000,6308000000,134.73,117.6,599563000000,313570000000,0.37,4734.0,12405000000,-32596000000,25061000000,108302000000,,148.0,,285000000000,30000000000,28000000000,16000000000,341.73,,,,,
6890,2026-03-31,2026-02-13,,211645000000,21840000000,19636000000,10146000000,216.66,188.63,635180000000,328595000000,0.366,4963.75,,,,,,148.0,,285000000000,30000000000,28000000000,16000000000,341.73,,,,,
