DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-13,15:00:00,2288,414000000,16.31,3033.83,,0.577,7673000000,-5388000000,-2053000000
2021-04-26,15:00:00,2288,,,,,,,,
2021-08-05,15:00:00,2288,178000000,7.03,2993.72,30.0,0.572,1788000000,-910000000,66000000
2021-11-09,15:00:00,2288,98000000,3.88,3009.3,30.0,0.572,4716000000,-2475000000,-2113000000
2021-10-25,15:00:00,2288,,,,,,,,
2022-02-04,15:00:00,2288,713000000,28.21,3001.86,30.0,0.535,1197000000,-3537000000,2478000000
2022-01-31,15:00:00,2288,,,,,,,,
2022-05-13,15:00:00,2288,-376000000,-14.88,2969.87,,0.581,7030000000,-5688000000,-1826000000
2022-08-04,15:00:00,2288,-55000000,-2.21,2924.15,25.0,0.556,490000000,-1394000000,757000000
2022-09-26,15:00:00,2288,,,,,,,,
2022-11-11,15:00:00,2288,-575000000,-22.87,2925.15,20.0,0.554,1136000000,-2928000000,1184000000
2022-10-31,15:00:00,2288,,,,,,,,
2023-02-07,15:00:00,2288,231000000,9.23,2961.95,20.0,0.522,-1328000000,-3006000000,4411000000
2023-05-12,15:00:00,2288,-4987000000,-198.77,2731.03,,0.541,2906000000,-4516000000,534000000
2023-03-27,15:00:00,2288,,,,,,,,
2023-08-04,15:00:00,2288,976000000,39.03,2790.68,20.0,0.525,1959000000,-1704000000,1201000000
2023-07-31,15:00:00,2288,,,,,,,,
2023-11-10,15:00:00,2288,983000000,39.34,2829.2,20.0,0.519,2963000000,-3404000000,2173000000
2023-10-30,15:00:00,2288,,,,,,,,
2024-02-07,15:00:00,2288,2435000000,97.63,2883.14,20.0,0.513,4658000000,-4261000000,2215000000
2024-01-29,15:00:00,2288,,,,,,,,
2024-05-13,16:00:00,2288,-9414000000,-377.73,2494.9,,0.509,10014000000,-4882000000,-2380000000
2024-05-09,15:00:00,2288,,,,,,,,
2024-08-07,15:00:00,2288,3204000000,128.94,2607.82,30.0,0.514,138000000,583000000,-2251000000
2024-10-28,15:00:00,2288,,,,,,,,
2024-11-08,15:30:00,2288,4272000000,171.91,2637.07,30.0,0.533,2756000000,-556000000,-3621000000
2025-02-06,15:30:00,2288,5750000000,231.91,2729.45,50.0,0.499,1026000000,-1478000000,-138000000
2025-04-28,15:30:00,2288,,,,,,,,
2025-05-14,15:00:00,2288,5488000000,222.06,2704.3,,0.547,5396000000,-2884000000,-3196000000
2025-08-06,12:00:00,2288,1421000000,58.06,2733.92,55.0,0.531,3434000000,-1514000000,-1844000000
2025-10-27,15:00:00,2288,,,,,,,,
2025-11-10,15:00:00,2288,3194000000,130.48,2871.75,65.0,0.556,7717000000,-4066000000,-3427000000
2026-02-05,12:00:00,2288,5065000000,206.92,3045.11,65.0,0.534,6548000000,-5105000000,-1100000000
