DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-03-11,16:00:00,2146,,,,62.0,,,,
2021-05-10,17:30:00,2146,4299000000,106.53,472.9,,0.362,6654000000,-2413000000,2613000000
2021-08-06,16:30:00,2146,191000000,4.74,,,0.34,,,
2021-11-05,16:00:00,2146,,,,,,,,
2021-11-05,16:00:00,2146,710000000,17.6,,,0.343,-1146000000,-4297000000,-4111000000
2022-02-04,16:00:00,2146,1846000000,45.75,,,0.333,,,
2022-03-08,16:00:00,2146,,,,,,,,
2022-03-08,16:00:00,2146,,,,17.84,,,,
2022-05-13,16:00:00,2146,3140000000,77.81,489.28,,0.308,2279000000,-6300000000,4554000000
2022-08-10,16:00:00,2146,2105000000,52.17,,,0.33,,,
2022-11-11,16:00:00,2146,4440000000,110.02,,,0.351,4973000000,-1592000000,-2787000000
2023-02-06,16:00:00,2146,1758000000,43.58,,,0.295,,,
2023-02-27,16:30:00,2146,,,,0.0,,,,
2023-05-15,17:00:00,2146,3831000000,94.92,563.7,,0.318,13004000000,-2139000000,-4748000000
2023-08-10,16:00:00,2146,1956000000,48.57,,,0.358,,,
2023-11-13,17:00:00,2146,3536000000,88.56,,,0.351,2597000000,120000000,-5389000000
2024-02-09,12:30:00,2146,5717000000,143.89,,93.03,0.388,,,
2024-02-09,12:30:00,2146,,,,93.03,,,,
2024-05-14,16:00:00,2146,6361000000,160.41,689.32,,0.4,3987000000,-210000000,-6434000000
2024-08-09,16:00:00,2146,4930000000,124.12,,164.81,0.394,,,
2024-11-13,17:00:00,2146,,,,,,,,
2024-11-13,17:00:00,2146,,,,102.66,,,,
2024-11-13,17:00:00,2146,6411000000,161.17,,102.66,0.425,3460000000,5361000000,-6131000000
2025-02-12,16:00:00,2146,8320000000,209.03,,112.33,0.433,,,
2025-05-14,17:00:00,2146,8965000000,225.32,741.37,,0.441,5681000000,5867000000,-9140000000
2025-08-08,16:00:00,2146,1544000000,39.67,,162.72,0.393,,,
2025-09-16,16:00:00,2146,,,,,,,,
2025-11-13,16:00:00,2146,3249000000,84.17,,,0.395,3589000000,-125000000,-4016000000
2026-02-12,16:00:00,2146,5366000000,9.3,,,0.391,,,
