DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-11,15:00:00,2871,21212000000,159.19,1525.76,,0.501,45453000000,-32213000000,-10709000000
2021-08-03,15:00:00,2871,4361000000,32.73,1525.38,50.0,0.493,,,
2021-11-02,15:00:00,2871,11115000000,83.4,1591.07,50.0,0.512,11734000000,-11716000000,-1697000000
2022-02-01,15:00:00,2871,18154000000,136.47,1591.66,50.0,0.472,,,
2022-05-10,15:00:00,2871,23382000000,176.72,1630.84,,0.494,34660000000,-26016000000,-14179000000
2022-05-17,15:00:00,2871,,,,,,,,
2022-08-02,15:00:00,2871,4251000000,32.83,1687.3,52.0,0.487,,,
2022-11-01,15:00:00,2871,9798000000,75.67,1752.99,52.0,0.489,6214000000,-14051000000,8730000000
2023-02-07,15:00:00,2871,16826000000,130.03,1748.69,52.0,0.467,,,
2023-05-09,15:00:00,2871,21568000000,167.14,1757.7,,0.491,37865000000,-26844000000,-8591000000
2023-08-01,15:00:00,2871,4964000000,38.88,1814.61,74.0,0.488,,,
2023-10-31,15:00:00,2871,11690000000,91.55,1907.48,74.0,0.496,22025000000,-14990000000,-1409000000
2024-02-06,15:00:00,2871,20084000000,157.26,1929.0,74.0,0.484,,,
2024-05-14,15:00:00,2871,24495000000,191.8,1984.04,,0.522,62442000000,-31592000000,-31255000000
2024-08-06,15:00:00,2871,6444000000,50.46,2030.72,82.0,0.519,,,
2024-11-05,15:30:00,2871,,,,92.0,,,,
2024-11-05,15:30:00,2871,12876000000,100.81,2061.26,92.0,0.529,19480000000,-17041000000,-4060000000
2025-02-04,15:30:00,2871,20575000000,161.32,2055.0,92.0,0.508,,,
2025-05-13,15:30:00,2871,24731000000,97.35,1037.82,,0.521,53194000000,-32403000000,-16804000000
2025-08-05,15:30:00,2871,5648000000,22.54,1025.1,47.0,0.511,,,
2025-11-11,15:30:00,2871,14149000000,56.47,1064.92,47.0,0.517,21820000000,-11043000000,-6300000000
2026-02-03,15:30:00,2871,21858000000,87.23,1097.2,47.0,0.496,,,
