DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-23,14:00:00,2296,,,,,,,,
2021-05-10,14:00:00,2296,20204000000,68.61,843.52,,0.627,40862000000,-10837000000,-21097000000
2021-08-06,15:00:00,2296,5908000000,20.18,,22.0,0.596,,,
2021-09-24,13:00:00,2296,,,,,,,,
2021-11-05,12:00:00,2296,11810000000,40.33,,22.0,0.624,-9705000000,-5433000000,-6778000000
2022-02-08,12:00:00,2296,18582000000,63.46,,22.0,0.621,,,
2022-05-09,16:00:00,2296,19118000000,65.34,897.66,,0.634,18473000000,-11251000000,-10653000000
2022-08-03,12:00:00,2296,5129000000,17.6,,24.0,0.605,,,
2022-11-08,12:00:00,2296,10905000000,37.52,,24.0,0.597,-17187000000,-14717000000,3866000000
2023-02-03,12:00:00,2296,17754000000,61.3,,24.0,0.57,,,
2023-04-21,16:00:00,2296,,,,,,,,
2023-05-09,12:00:00,2296,16975000000,58.81,943.4,,0.615,3947000000,-22926000000,-6844000000
2023-08-03,12:00:00,2296,3357000000,11.79,,25.0,0.576,,,
2023-11-02,12:00:00,2296,7589000000,133.25,,,0.573,-4936000000,-8847000000,15902000000
2023-10-20,12:00:00,2296,,,,,,,,
2023-10-20,12:00:00,2296,,,,,,,,
2024-02-06,12:00:00,2296,15366000000,269.8,,,0.583,,,
2024-05-02,12:00:00,2296,15553000000,273.24,5018.37,,0.615,29392000000,-16014000000,-13278000000
2024-08-01,12:00:00,2296,2956000000,52.13,,145.0,0.579,-4621000000,-5592000000,10408000000
2024-10-25,12:00:00,2296,,,,,,,,
2024-11-01,12:00:00,2296,6264000000,110.43,,145.0,0.599,-9189000000,-8029000000,14013000000
2025-02-06,12:00:00,2296,12264000000,216.2,,145.0,0.57,-13156000000,-16743000000,25091000000
2025-02-06,12:00:00,2296,,,,,,,,
2025-05-02,12:00:00,2296,13097000000,230.88,5033.02,,0.611,10016000000,-20642000000,7468000000
2025-08-04,12:00:00,2296,6376000000,112.39,,320.0,0.592,4817000000,-6604000000,824000000
2025-11-04,12:00:00,2296,9508000000,167.58,,320.0,0.604,12836000000,-10069000000,-6132000000
2026-02-05,12:00:00,2296,15981000000,281.64,,320.0,0.54,-8118000000,-19727000000,28056000000
