DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-02-15,15:30:00,2503,71935000000,85.57,1005.96,,0.341,164839000000,-115981000000,-52474000000
2021-05-12,15:30:00,2503,16967000000,20.35,,65.0,0.356,36755000000,22742000000,-9063000000
2021-08-10,15:30:00,2503,23748000000,28.49,,65.0,0.359,89844000000,19363000000,-27142000000
2021-11-09,15:30:00,2503,51627000000,61.93,,65.0,0.358,192032000000,6204000000,-123483000000
2022-02-14,15:30:00,2503,59790000000,71.73,1072.69,,0.362,219303000000,-56408000000,-180463000000
2022-05-12,15:30:00,2503,17393000000,20.87,,65.0,0.372,16547000000,-62487000000,38453000000
2022-08-08,15:30:00,2503,55350000000,66.6,,65.0,0.374,46783000000,-78539000000,2901000000
2022-11-09,15:30:00,2503,129059000000,156.37,,65.0,0.394,87188000000,18495000000,-121086000000
2023-02-14,15:30:00,2503,111007000000,135.08,1210.16,,0.385,135562000000,-10399000000,-167835000000
2023-05-11,15:30:00,2503,5591000000,6.9,,69.0,0.394,41857000000,-31409000000,-8617000000
2023-08-08,15:30:00,2503,31990000000,39.5,,69.0,0.408,58926000000,-55978000000,15577000000
2023-11-08,15:30:00,2503,83913000000,103.62,,69.0,0.379,127995000000,-230986000000,129653000000
2024-02-14,15:30:00,2503,112697000000,139.16,1398.47,,0.395,203206000000,-226091000000,35909000000
2024-05-09,15:30:00,2503,25900000000,31.98,,71.0,0.387,39883000000,-65345000000,34748000000
2024-08-06,15:30:00,2503,57220000000,70.65,,71.0,0.412,108711000000,-116025000000,-21568000000
2024-11-07,15:30:00,2503,79268000000,97.87,,71.0,0.359,178604000000,-259510000000,100065000000
2025-02-14,15:30:00,2503,58214000000,71.87,1458.68,,0.352,242844000000,-329375000000,58125000000
2025-05-13,15:30:00,2503,24338000000,30.05,,74.0,0.339,10243000000,-45405000000,58242000000
2025-08-07,15:30:00,2503,52835000000,65.23,,74.0,0.34,67253000000,-61556000000,35825000000
2025-11-11,15:30:00,2503,102833000000,126.95,,74.0,0.353,169723000000,-97773000000,-49336000000
2026-02-13,15:30:00,2503,147542000000,182.13,1588.59,,0.368,295428000000,-185019000000,-110524000000
