DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-02-15,15:50:00,3278,,,,,,,,
2021-03-15,15:30:00,3278,3631000000,3817,133646,,0.449,5336000000,-11605000000,6302000000
2021-09-14,16:00:00,3278,4146000000,4189,135777,,0.461,6295000000,-7721000000,5545000000
2022-02-14,16:45:00,3278,,,,,,,,
2022-03-16,15:30:00,3278,4119000000,4136,136352,,0.449,6135000000,-13488000000,4799000000
2022-09-13,15:30:00,3278,4122000000,3966,138902,,0.46,6084000000,-14488000000,8926000000
2022-11-28,15:30:00,3278,,,,,,,,
2023-03-15,15:30:00,3278,4593000000,4361,141655,,0.464,7574000000,-12631000000,5092000000
2023-06-13,15:30:00,3278,,,,,,,,
2023-09-13,15:30:00,3278,4501000000,4205,140923,,0.46,6133000000,-4555000000,-2855000000
