DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-28,18:45:00,9501,180896000000,112.9,1326.49,,0.258,239825000000,-577215000000,-20340000000
2021-07-21,15:00:00,9501,,,,,,,,
2021-07-29,15:30:00,9501,-3031000000,-1.89,,0.0,0.261,,,
2021-10-27,16:00:00,9501,88646000000,55.33,,0.0,0.257,96293000000,-249212000000,679595000000
2022-01-31,14:00:00,9501,9802000000,6.12,,0.0,0.253,,,
2022-04-28,17:45:00,9501,5640000000,3.52,1371.15,,0.249,406493000000,-559791000000,560596000000
2022-08-02,16:45:00,9501,-67062000000,-41.86,,0.0,0.251,,,
2022-11-01,17:15:00,9501,-143373000000,-89.49,,0.0,0.247,-173172000000,-59643000000,210405000000
2023-01-23,15:00:00,9501,,,,,,,,
2023-02-01,16:30:00,9501,-650948000000,-406.29,,0.0,0.204,,,
2023-04-28,17:30:00,9501,-123631000000,-77.17,1307.87,,0.228,-75673000000,-388842000000,319984000000
2023-08-02,16:00:00,9501,136286000000,85.06,,0.0,0.238,,,
2023-10-31,17:00:00,9501,350826000000,218.97,,0.0,0.253,347502000000,-288626000000,469601000000
2024-01-31,16:20:00,9501,351367000000,219.31,,0.0,0.254,,,
2024-03-29,17:00:00,9501,,,,,,,,
2024-04-30,18:00:00,9501,267850000000,167.18,1567.47,,0.241,673017000000,-698790000000,541499000000
2024-07-31,17:00:00,9501,79237000000,49.46,,0.0,0.253,,,
2024-08-13,18:00:00,9501,79237000000,49.46,,0.0,0.253,,,
2024-10-30,17:00:00,9501,189562000000,118.32,,0.0,0.257,52873000000,-392253000000,78629000000
2025-01-30,17:00:00,9501,243159000000,151.78,,0.0,0.259,,,
2025-02-13,17:00:00,9501,243159000000,151.78,,0.0,0.259,,,
2025-03-17,19:00:00,9501,,,,,,,,
2025-04-30,18:00:00,9501,161278000000,100.67,1722.28,,0.251,361249000000,-859209000000,194169000000
2025-07-31,16:30:00,9501,-857690000000,-535.36,,0.0,0.193,,,
2025-08-13,17:00:00,9501,-857690000000,-535.36,,0.0,0.193,,,
2025-10-30,16:30:00,9501,-712397000000,-444.67,,0.0,0.203,164632000000,-410515000000,-59547000000
2026-01-26,15:00:00,9501,,,,,,,,
2026-01-29,17:00:00,9501,-662652000000,-413.61,,0.0,0.206,,,
2026-02-13,17:00:00,9501,-662652000000,-413.61,,0.0,0.206,,,
