DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-10,15:00:00,8153,,,,,,,,
2021-05-14,15:01:00,8153,997000000,32.34,1463.64,,0.696,4399000000,45000000,-2719000000
2021-08-13,15:00:00,8153,760000000,24.66,,24.0,0.71,,,
2021-11-12,15:00:00,8153,1973000000,64.01,,28.0,0.705,5133000000,308000000,-2116000000
2022-02-10,15:00:00,8153,3089000000,100.19,,28.0,0.69,,,
2022-05-13,15:01:00,8153,3419000000,110.91,1567.14,,0.694,10449000000,-798000000,-3825000000
2022-08-12,15:00:00,8153,305000000,9.9,,28.0,0.715,,,
2022-11-11,15:00:00,8153,755000000,24.51,,28.0,0.694,774000000,-564000000,-1115000000
2023-02-14,15:00:00,8153,911000000,29.55,,28.0,0.677,,,
2023-05-08,15:00:00,8153,,,,,,,,
2023-05-12,15:00:00,8153,-317000000,-10.31,1551.72,,0.643,1422000000,-2974000000,611000000
2023-08-10,15:00:00,8153,691000000,22.41,,28.0,0.663,,,
2023-11-10,15:00:00,8153,1500000000,48.64,,28.0,0.653,4595000000,-1418000000,-1851000000
2024-02-09,15:00:00,8153,3104000000,100.65,,28.0,0.642,,,
2024-05-15,15:00:00,8153,2573000000,83.45,1680.16,,0.65,10160000000,-2135000000,-3944000000
2024-08-09,15:00:00,8153,866000000,28.08,,30.0,0.672,,,
2024-11-08,15:30:00,8153,1782000000,57.76,,30.0,0.662,2168000000,-677000000,-1658000000
2025-02-14,15:30:00,8153,3067000000,99.42,,30.0,0.66,,,
2025-05-15,15:30:00,8153,3150000000,102.1,1751.71,,0.671,7346000000,-1642000000,-3730000000
2025-08-08,15:30:00,8153,1263000000,40.94,,30.0,0.691,,,
2025-11-07,15:30:00,8153,2834000000,91.86,,30.0,0.675,4080000000,-1366000000,-1169000000
2026-02-13,15:30:00,8153,4466000000,144.74,,30.0,0.67,,,
