Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
8613,2021-03-31,2021-03-15,,,,,,,,,,,,,,,,,33.5,,,,,,,,,,,
8613,2021-03-31,2021-04-15,,,,,,,,,,,,,,,,,,,19188000000,3661000000,4085000000,4156000000,62.5,,,,,
8613,2021-03-31,2021-04-28,2022-03-31,19188000000,3661000000,4085000000,4156000000,62.5,62.49,99385000000,46401000000,0.465,694.33,-2738000000,1566000000,-1427000000,28693000000,33.5,,,,,,,,,,,,
8613,2022-03-31,2021-07-15,,,,,,,,,,,,,,,,,,,4855000000,879000000,1065000000,736000000,11.07,,,,,
8613,2022-03-31,2021-07-29,,4855000000,879000000,1065000000,736000000,11.07,11.06,100933000000,45965000000,0.453,687.74,,,,,,,,,,,,,,,,,
8613,2022-03-31,2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8613,2022-03-31,2021-10-28,,9535000000,1703000000,1983000000,1367000000,20.56,20.54,111680000000,47141000000,0.42,705.33,,,,,,,,,,,,,,,,,
8613,2022-03-31,2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8613,2022-03-31,2022-01-18,,,,,,,,,,,,,,,,,,,14601000000,2891000000,3285000000,2508000000,37.71,,,,,
8613,2022-03-31,2022-01-28,,14601000000,2891000000,3285000000,2508000000,37.71,37.68,110773000000,47118000000,0.423,705.08,,,,,,,,,,,,,,,,,
8613,2022-03-31,2022-03-15,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,
8613,2022-03-31,2022-04-15,,,,,,,,,,,,,,,,,,,18670000000,3219000000,3647000000,2827000000,42.51,,,,,
8613,2022-03-31,2022-04-27,2023-03-31,18670000000,3219000000,3647000000,2827000000,42.51,42.49,90885000000,47133000000,0.516,705.27,-371000000,-911000000,-2050000000,25873000000,22.0,,,,,,,,,,,,
8613,2023-03-31,2022-07-15,,,,,,,,,,,,,,,,,,,3896000000,120000000,331000000,310000000,4.71,,,,,
8613,2023-03-31,2022-07-28,,3896000000,120000000,331000000,310000000,4.71,4.71,88218000000,45372000000,0.512,689.26,,,,,,,,,,,,,,,,,
8613,2023-03-31,2022-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8613,2023-03-31,2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
