DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-12,15:00:00,2540,807000000,58.67,3018.77,,0.868,1409000000,-217000000,-551000000
2021-07-30,15:00:00,2540,270000000,19.64,,40.0,0.875,,,
2021-10-11,15:00:00,2540,,,,,,,,
2021-10-27,15:00:00,2540,465000000,33.82,,40.0,0.868,642784000,-296688000,-550967000
2022-01-28,15:00:00,2540,846000000,61.42,,40.0,0.865,,,
2022-05-11,15:00:00,2540,949000000,68.91,3058.44,,0.868,1806000000,-1399000000,-551000000
2022-07-29,15:00:00,2540,456000000,33.08,,45.0,0.873,,,
2022-10-11,15:00:00,2540,,,,,,,,
2022-10-28,15:00:00,2540,613000000,44.45,,45.0,0.868,864793000,-228481000,-553526000
2023-01-31,15:00:00,2540,1078000000,78.09,,55.0,0.867,,,
2023-05-10,15:00:00,2540,1020000000,73.92,3097.62,,0.863,1748000000,-1451000000,-554000000
2023-07-28,15:00:00,2540,313000000,22.72,,45.0,0.864,,,
2023-10-31,15:00:00,2540,281000000,20.4,,45.0,0.857,-110155000,525618000,-758861000
2024-01-30,15:00:00,2540,615000000,44.51,,45.0,0.857,,,
2024-05-10,15:00:00,2540,952000000,68.9,3371.71,,0.857,667000000,2313000000,-760000000
2024-07-30,15:00:00,2540,195000000,14.13,,45.0,0.855,,,
2024-10-10,15:30:00,2540,,,,,,,,
2024-10-30,15:00:00,2540,238000000,17.2,,45.0,0.848,-420391000,-1005953000,-621736000
2025-01-30,15:30:00,2540,424000000,30.66,,45.0,0.852,,,
2025-05-13,15:30:00,2540,679000000,49.08,3325.39,,0.861,473000000,-1194000000,-623000000
2025-07-30,15:30:00,2540,300000000,21.69,,45.0,0.868,,,
2025-10-10,15:30:00,2540,,,,,,,,
2025-10-30,15:30:00,2540,297000000,21.47,,45.0,0.854,654274000,-118359000,-625563000
2026-01-29,15:30:00,2540,488000000,35.22,,45.0,0.847,,,
