DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-13,16:40:00,6055,6140000000,59.84,309.49,,0.815,5940000000,-771000000,-1512000000
2021-08-06,14:30:00,6055,1408000000,13.72,,17.0,0.83,,,
2021-11-08,15:20:00,6055,3173000000,30.92,,17.0,0.831,3170018000,-956594000,-1635529000
2022-02-07,14:30:00,6055,4852000000,47.28,,17.0,0.838,,,
2022-05-13,16:40:00,6055,6735000000,65.63,362.47,,0.818,4453000000,-3439000000,-1643000000
2022-08-08,14:30:00,6055,1851000000,18.04,,20.0,0.798,,,
2022-11-09,15:20:00,6055,4511000000,43.95,,20.0,0.802,-2107936000,-1357017000,-1868281000
2023-02-08,15:00:00,6055,6535000000,63.67,,20.0,0.833,,,
2023-05-12,15:20:00,6055,7904000000,77.0,424.17,,0.83,4741000000,-3413000000,-2078000000
2023-08-09,15:00:00,6055,1115000000,10.87,,20.0,0.842,,,
2023-11-09,15:40:00,6055,2292000000,22.33,,20.0,0.826,3689000000,-3758000000,-2091000000
2024-02-09,15:00:00,6055,3878000000,37.77,,20.0,0.845,,,
2024-04-23,17:00:00,6055,,,,,,,,
2024-05-13,15:20:00,6055,5681000000,55.32,463.37,,0.844,4227000000,-5099000000,-2133000000
2024-08-09,15:00:00,6055,1539000000,14.98,,22.0,0.839,,,
2024-11-12,15:20:00,6055,2925000000,28.48,,22.0,0.85,7650000000,-1829000000,-2099000000
2025-02-12,15:30:00,6055,4878000000,47.48,,22.0,0.858,,,
2025-05-13,15:20:00,6055,7872000000,76.62,526.79,,0.824,14195000000,-2737000000,-2145000000
2025-08-08,15:20:00,6055,2135000000,20.78,,27.0,0.845,,,
2025-11-12,15:40:00,6055,4294000000,41.79,,27.0,0.835,8128000000,-4223000000,-2512000000
2026-02-10,15:30:00,6055,7096000000,69.05,,27.0,0.844,,,
