DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-12,15:00:00,7167,36478000000,31.45,861.05,,0.043,4661394000000,-112389000000,-42603000000
2021-08-05,15:00:00,7167,18798000000,16.63,,11.0,0.041,,,
2021-11-12,15:00:00,7167,24705000000,22.15,,11.0,0.044,,,
2022-02-04,15:00:00,7167,38462000000,34.68,,11.0,0.042,,,
2022-05-13,15:00:00,7167,42958000000,38.96,888.1,,0.039,1232138000000,-358507000000,-31846000000
2022-08-04,15:00:00,7167,15356000000,14.22,,11.0,0.037,,,
2022-11-11,15:00:00,7167,26941000000,24.94,,11.0,0.041,,,
2023-02-06,15:00:00,7167,31808000000,29.47,,11.0,0.04,,,
2023-02-20,15:00:00,7167,,,,,,,,
2023-05-12,15:00:00,7167,32176000000,29.9,849.92,,0.042,-3368097000000,922430000000,-16669000000
2023-08-04,15:00:00,7167,15602000000,14.65,,11.0,0.044,,,
2023-11-10,15:00:00,7167,23530000000,22.25,,12.0,0.043,,,
2024-02-07,15:00:00,7167,32362000000,30.85,,12.0,0.043,,,
2024-05-10,15:00:00,7167,43366000000,41.66,973.55,,0.045,-23541000000,-325343000000,-31950000000
2024-08-05,15:00:00,7167,18347000000,18.14,,14.0,0.045,,,
2024-11-11,15:30:00,7167,32020000000,31.85,,16.0,0.046,,,
2025-02-07,15:30:00,7167,49104000000,49.02,,16.0,0.044,,,
2025-05-12,12:15:00,7167,58228000000,58.38,981.17,,0.045,-981405000000,-195558000000,-32974000000
2025-08-06,15:00:00,7167,22223000000,23.25,,24.0,0.044,,,
2025-11-10,12:00:00,7167,43773000000,46.03,,26.0,0.049,,,
2026-02-06,12:15:00,7167,64656000000,68.23,,26.0,0.048,,,
