DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-13,15:00:00,8273,23053000000,321.72,3244.56,,0.475,48320000000,-6633000000,-25361000000
2021-07-13,15:00:00,8273,5081000000,70.97,,86.0,0.497,-14445000000,-5333000000,1925000000
2021-10-12,15:00:00,8273,10719000000,149.81,,86.0,0.512,1320000000,-8298000000,-9197000000
2022-01-11,15:00:00,8273,16371000000,228.88,,86.0,0.507,7462000000,-11757000000,-11622000000
2022-01-11,15:00:00,8273,,,,,,,,
2022-04-12,15:00:00,8273,23204000000,324.45,3479.26,,0.53,18577000000,-14246000000,-18016000000
2022-07-12,15:00:00,8273,5295000000,74.09,,86.0,0.527,9225000000,-2310000000,-8623000000
2022-10-11,15:00:00,8273,10634000000,148.77,,86.0,0.54,20625000000,-4788000000,-17787000000
2023-01-10,15:00:00,8273,15264000000,213.52,,86.0,0.535,23509000000,-7699000000,-19313000000
2023-04-11,15:00:00,8273,23188000000,324.36,3706.99,,0.554,38313000000,-10045000000,-29557000000
2023-07-11,15:00:00,8273,5529000000,77.35,,88.0,0.551,9466000000,-3752000000,-6680000000
2023-10-10,15:00:00,8273,10460000000,146.29,,88.0,0.56,20970000000,-7171000000,-15405000000
2024-01-09,15:00:00,8273,14525000000,203.13,,88.0,0.553,23448000000,-15915000000,-8454000000
2024-06-27,15:00:00,8273,20485000000,286.47,3922.84,,0.573,31563000000,-24747000000,-5149000000
2024-08-28,15:00:00,8273,,,,,,,,
2024-08-28,15:00:00,8273,3933000000,55.0,,90.0,0.566,14441000000,-7740000000,-8518000000
2024-10-15,15:00:00,8273,8156000000,114.02,,90.0,0.486,45906000000,-86762000000,45178000000
2025-01-14,15:30:00,8273,11858000000,165.76,,90.0,0.487,48650000000,-86631000000,41577000000
2025-04-14,15:30:00,8273,11919000000,166.6,3990.31,,0.501,40282000000,-91636000000,55073000000
2025-07-10,15:30:00,8273,4045000000,56.92,,90.0,0.487,25822000000,-5083000000,-23012000000
2025-10-14,15:30:00,8273,8084000000,114.05,,90.0,0.482,44755000000,-9915000000,-27868000000
2026-01-13,15:30:00,8273,11102000000,156.79,,90.0,0.482,46218000000,-12853000000,-30462000000
