Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
8366,2021-03-31,2021-05-14,2022-03-31,86084000000,,11070000000,11448000000,228.13,220.43,7793748000000,495469000000,0.064,9958.47,1239206000000,-126663000000,-34337000000,2012295000000,40.0,,,,,,,,,,22500000000,13800000000,277.41
8366,2022-03-31,2021-07-29,,27675000000,,9304000000,6598000000,132.93,132.84,7606177000000,490677000000,0.064,,,,,,,40.0,,,,22500000000,13800000000,279.73,,,,,
8366,2022-03-31,2021-11-12,,50047000000,,16716000000,11910000000,240.87,240.69,7425874000000,504287000000,0.068,,,,,,,60.0,,,,25000000000,16300000000,330.9,,,,,
8366,2022-03-31,2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,2022-03-31,2022-01-28,,77290000000,,26690000000,19133000000,387.43,387.13,7501731000000,507435000000,0.068,,,,,,,60.0,,,,25000000000,16300000000,330.91,,,,,
8366,2022-03-31,2022-05-13,2023-03-31,98306000000,,23999000000,17715000000,359.51,359.21,7537956000000,464214000000,0.062,9552.14,-278958000000,21823000000,-4483000000,1750676000000,80.0,,,,,,,,,,21000000000,14800000000,304.61
8366,2023-03-31,2022-07-28,,35469000000,,12551000000,9044000000,187.23,187.06,7002339000000,442082000000,0.063,,,,,,,80.0,,,,21000000000,14800000000,309.47,,,,,
8366,2023-03-31,2022-11-11,,61197000000,,16252000000,11933000000,248.2,248.09,6867523000000,425785000000,0.062,,,,,,,80.0,,,,21000000000,14800000000,309.21,,,,,
8366,2023-03-31,2023-01-27,,88354000000,,20312000000,14907000000,310.82,310.72,7015122000000,412547000000,0.059,,,,,,,80.0,,,,21000000000,14800000000,311.73,,,,,
8366,2023-03-31,2023-05-12,2024-03-31,115289000000,,20041000000,14858000000,310.57,310.5,7305698000000,441222000000,0.06,9293.39,-483433000000,-57989000000,-7954000000,1201299000000,80.0,,,,,,,,,,23500000000,15300000000,322.26
8366,2024-03-31,2023-07-28,,33108000000,,13468000000,9683000000,203.95,,7619952000000,471307000000,0.062,,,,,,,90.0,,,,23500000000,15300000000,322.26,,,,,
8366,2024-03-31,2023-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8366,2024-03-31,2023-11-10,,58793000000,,18074000000,12518000000,263.65,,7730207000000,458701000000,0.059,,,,,,,90.0,,,,23500000000,15300000000,322.21,,,,,
8366,2024-03-31,2024-01-26,,91024000000,,25839000000,17807000000,375.04,,8026569000000,465698000000,0.058,,,,,,,90.0,,,,23500000000,15300000000,322.22,,,,,
8366,2024-03-31,2024-05-10,2025-03-31,122630000000,,23967000000,15940000000,336.32,,7970551000000,490887000000,0.062,10459.89,453292000000,-288586000000,-6280000000,1359724000000,90.0,,,,,,,,,,23000000000,16000000000,340.93
8366,2025-03-31,2024-07-26,,31023000000,,8194000000,5706000000,121.59,,7768869000000,494849000000,0.064,,,,,,,90.0,,,,23000000000,16000000000,340.93,,,,,
8366,2025-03-31,2024-11-11,,60493000000,,11625000000,8748000000,186.41,,7569806000000,473934000000,0.063,,,,,,,90.0,,,,23000000000,16000000000,340.91,,,,,
8366,2025-03-31,2025-01-31,,92099000000,,15423000000,15896000000,338.71,,7593029000000,477273000000,0.063,,,,,,,90.0,,,,23000000000,16000000000,340.91,,,,,
8366,2025-03-31,2025-05-09,2026-03-31,133109000000,,18949000000,18720000000,399.72,,7528217000000,444811000000,0.059,9652.6,-405676000000,-47627000000,-7999000000,898421000000,90.0,,,,,,,,,,28300000000,20000000000,434.01
8366,2026-03-31,2025-07-30,,34984000000,,9330000000,6739000000,146.25,,7640939000000,456907000000,0.06,,,,,,,130.0,,,,28300000000,20000000000,434.01,,,,,
8366,2026-03-31,2025-11-14,,79519000000,,15640000000,11389000000,246.98,,7589627000000,484832000000,0.064,,,,,,,130.0,,,,28300000000,20000000000,432.15,,,,,
8366,2026-03-31,2026-01-29,,119284000000,,23371000000,17020000000,368.64,,7625949000000,497471000000,0.065,,,,,,,130.0,,,,28300000000,20000000000,432.17,,,,,
