DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-04-30,14:20:00,9009,-30289000000,-179.65,2246.67,,0.42,9282000000,-28678000000,21498000000
2021-07-30,15:00:00,9009,-3441000000,-20.42,,,0.418,,,
2021-10-29,15:00:00,9009,-7786000000,-46.2,,17.0,0.416,,,
2021-10-29,15:00:00,9009,,,,,,,,
2022-01-31,15:00:00,9009,-4438000000,-26.33,,17.0,0.411,,,
2022-04-27,16:00:00,9009,,,,,,,,
2022-04-28,15:45:00,9009,-4438000000,-26.33,2194.0,,0.411,28831000000,-33764000000,1236000000
2022-07-29,15:00:00,9009,4382000000,26.35,,17.0,0.395,,,
2022-10-31,15:00:00,9009,15597000000,94.13,,17.0,0.404,,,
2022-11-25,15:00:00,9009,,,,,,,,
2023-01-31,15:00:00,9009,23017000000,138.46,,17.0,0.41,,,
2023-04-28,15:00:00,9009,26929000000,161.72,2357.93,,0.409,47238000000,-29505000000,-20916000000
2023-07-31,15:00:00,9009,10622000000,63.43,,20.0,0.411,,,
2023-10-31,15:00:00,9009,21092000000,125.94,,26.0,0.421,,,
2024-01-31,15:00:00,9009,35989000000,214.89,,26.0,0.427,,,
2024-03-08,08:15:00,9009,,,,34.0,,,,
2024-04-26,17:00:00,9009,87657000000,524.57,2778.53,,0.424,60045000000,28137000000,-40264000000
2024-07-31,15:00:00,9009,13317000000,81.96,,36.0,0.453,,,
2024-10-31,15:30:00,9009,21496000000,132.26,,,0.458,,,
2024-11-29,15:30:00,9009,,,,,,,,
2025-01-31,15:30:00,9009,60680000000,124.36,,,0.476,,,
2025-05-09,15:30:00,9009,69961000000,143.46,1055.48,,0.465,41149000000,-9245000000,-62869000000
2025-05-21,15:30:00,9009,,,,18.0,,,,
2025-07-31,15:30:00,9009,12714000000,26.37,,18.0,0.473,,,
2025-10-31,15:30:00,9009,23723000000,49.2,,18.0,0.485,,,
2026-01-30,15:30:00,9009,42369000000,87.86,,18.0,0.486,,,
