Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
6920,2021-06-30,2021-04-30,,51945000000,18584000000,18961000000,13477000000,149.45,149.32,104878000000,48460000000,0.462,537.15,752249000,-3367858000,-4236326000,18466915000,,55.0,,62000000000,20000000000,20000000000,14000000000,155.25,,,,,
6920,2021-06-30,2021-08-06,2022-06-30,70248000000,26074000000,26438000000,19250000000,213.47,213.29,118725000000,55188000000,0.465,611.76,10488000000,-3703000000,-4242000000,27849000000,75.0,,,,,,,,83000000000,27000000000,27000000000,21000000000,232.87
6920,2022-06-30,2021-10-29,,9110000000,2019000000,2144000000,1567000000,17.39,17.37,132579000000,51314000000,0.387,568.8,2743516000,-2691490000,-4961059000,23135408000,,82.0,,83000000000,27000000000,27000000000,21000000000,232.87,,,,,
6920,2022-06-30,2022-01-31,,36929000000,12803000000,13122000000,9735000000,107.96,107.87,145048000000,59388000000,0.409,658.31,-1903965000,-2587927000,-4962334000,18901540000,,82.0,,83000000000,27000000000,27000000000,21000000000,232.87,,,,,
6920,2022-06-30,2022-04-28,,53565000000,16542000000,17279000000,13000000000,144.17,144.05,166143000000,60519000000,0.364,670.85,5627410000,-2811284000,-7849393000,24041517000,,82.0,,83000000000,27000000000,27000000000,21000000000,232.87,,,,,
6920,2022-06-30,2022-08-05,2023-06-30,90378000000,32492000000,33582000000,24850000000,275.57,275.34,178629000000,72747000000,0.407,806.45,-3464000000,-5387000000,2149000000,23420000000,97.0,,,,,,,,140000000000,42000000000,42000000000,33000000000,365.93
6920,2023-06-30,2022-10-31,,25723000000,8508000000,9238000000,6731000000,74.64,74.58,229454000000,73620000000,0.321,816.13,13391000000,-17429000000,14136000000,35113000000,,129.0,,140000000000,42000000000,42000000000,33000000000,365.93,,,,,
6920,2023-06-30,2023-01-31,,55100000000,18124000000,18108000000,13582000000,150.61,150.49,241388000000,80379000000,0.333,891.04,19139000000,-18112000000,4135000000,29209000000,,129.0,,140000000000,42000000000,42000000000,33000000000,365.93,,,,,
6920,2023-06-30,2023-04-28,,79430000000,27472000000,27975000000,20716000000,229.72,229.53,263247000000,82917000000,0.315,919.19,33873000000,-19888000000,-10555000000,27937000000,,129.0,,140000000000,42000000000,42000000000,33000000000,365.93,,,,,
6920,2023-06-30,2023-07-24,,,,,,,,,,,,,,,,,178.0,,152000000000,61000000000,63000000000,45000000000,498.99,,,,,
6920,2023-06-30,2023-08-07,2024-06-30,152832000000,62287000000,63668000000,46164000000,511.89,511.46,271574000000,109142000000,0.402,1209.99,40548000000,-20570000000,-15557000000,29773000000,180.0,,,,,,,,190000000000,64000000000,64000000000,47000000000,521.16
6920,2024-06-30,2023-10-31,,47305000000,10279000000,10929000000,7702000000,85.4,85.33,255256000000,105343000000,0.413,1167.86,14549000000,-1264000000,-1546000000,42171000000,,183.0,,190000000000,64000000000,64000000000,47000000000,521.16,,,,,
6920,2024-06-30,2024-01-31,,94989000000,31752000000,31302000000,22198000000,246.15,245.94,252341000000,119695000000,0.474,1326.95,18952000000,-1916000000,-16551000000,30638000000,,191.0,,195000000000,67000000000,67000000000,49000000000,543.32,,,,,
6920,2024-06-30,2024-04-30,,157202000000,58110000000,58693000000,41521000000,460.4,460.02,259146000000,133013000000,0.513,1474.62,24306000000,-2269000000,-23140000000,29744000000,,191.0,,195000000000,67000000000,67000000000,49000000000,543.32,,,,,
6920,2024-06-30,2024-08-07,2025-06-30,213506000000,81375000000,82021000000,59076000000,655.05,654.49,271288000000,151315000000,0.558,1677.55,33317000000,-3571000000,-23145000000,38152000000,230.0,,,,,,,,240000000000,104000000000,104000000000,74000000000,820.52
6920,2025-06-30,2024-10-31,,36737000000,15922000000,12728000000,8930000000,99.03,98.94,261263000000,143952000000,0.551,1595.9,-1205000000,-306000000,-4165000000,30655000000,,288.0,,240000000000,104000000000,104000000000,74000000000,820.52,,,,,
6920,2025-06-30,2025-01-31,,128968000000,63662000000,62438000000,43318000000,480.31,479.91,288347000000,179802000000,0.623,1993.35,5996000000,-1779000000,-14172000000,26828000000,,288.0,,240000000000,104000000000,104000000000,74000000000,820.52,,,,,
6920,2025-06-30,2025-04-28,,168835000000,79291000000,75394000000,52694000000,584.27,583.77,299365000000,177333000000,0.592,1965.98,44503000000,-2025000000,-24558000000,53824000000,,288.0,,240000000000,104000000000,104000000000,74000000000,820.52,,,,,
6920,2025-06-30,2025-08-07,2026-06-30,251477000000,122843000000,119444000000,84652000000,938.61,937.82,329601000000,209900000000,0.637,2327.06,77874000000,-2420000000,-24568000000,86087000000,329.0,,,,,,,,200000000000,85000000000,85000000000,60000000000,665.27
6920,2026-06-30,2025-10-31,,54171000000,26728000000,27141000000,19057000000,211.46,211.28,309268000000,205902000000,0.666,2288.86,5937000000,-346000000,-23239000000,68642000000,,329.0,,200000000000,85000000000,85000000000,60000000000,665.75,,,,,
6920,2026-06-30,2026-01-30,,128258000000,62991000000,65130000000,45745000000,508.61,508.18,309674000000,225563000000,0.728,2516.35,24828000000,-472000000,-31326000000,80500000000,,329.0,,220000000000,100000000000,100000000000,72000000000,801.89,,,,,
