DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-11,15:00:00,7735,15164000000,325.21,4475.17,,0.545,57205000000,-6242000000,-27071000000
2021-07-28,15:30:00,7735,6081000000,130.59,,180.0,0.526,18552000000,-1688000000,-4472000000
2021-10-27,15:00:00,7735,17605000000,378.04,,231.0,0.537,41717000000,-2856000000,-4068000000
2022-01-28,15:30:00,7735,29618000000,635.96,,231.0,0.522,63703000000,-4694000000,-4406000000
2022-05-11,15:30:00,7735,45481000000,976.55,5318.32,,0.539,81752000000,-9952000000,-4951000000
2022-07-27,15:30:00,7735,16091000000,343.56,,322.0,0.552,29269000000,1739000000,-19350000000
2022-10-28,15:30:00,7735,29691000000,630.08,,322.0,0.575,20160000000,-2800000000,-20136000000
2023-01-31,15:30:00,7735,41841000000,886.12,,322.0,0.523,53654000000,-5469000000,-20477000000
2023-05-10,15:30:00,7735,57491000000,1216.33,6325.44,,0.533,73906000000,-12514000000,-20961000000
2023-07-28,15:30:00,7735,9428000000,198.86,,,0.489,39803000000,-17573000000,-17219000000
2023-10-31,15:30:00,7735,26347000000,277.84,,,0.498,68909000000,-18311000000,-18177000000
2024-01-31,15:30:00,7735,44597000000,470.26,,,0.471,127328000000,-23257000000,-26416000000
2024-05-09,15:30:00,7735,70579000000,742.1,3831.1,,0.549,96255000000,-43456000000,-35142000000
2024-07-26,15:30:00,7735,18215000000,187.62,,233.0,0.605,-32120000000,-7949000000,-13691000000
2024-08-13,15:30:00,7735,18215000000,187.62,,233.0,0.605,-32120000000,-7949000000,-13691000000
2024-10-31,15:30:00,7735,38838000000,399.51,,247.0,0.591,33494000000,-14527000000,-14729000000
2025-01-31,15:35:00,7735,69514000000,714.7,,283.0,0.614,44425000000,-17367000000,-26744000000
2025-02-13,15:35:00,7735,69514000000,714.7,,283.0,0.614,44425000000,-17367000000,-26744000000
2025-05-09,15:35:00,7735,99467000000,1023.54,4398.46,,0.627,71234000000,-21772000000,-46466000000
2025-07-25,15:45:00,7735,16687000000,176.52,,280.0,0.645,6999000000,-9725000000,-28968000000
2025-08-13,15:35:00,7735,16687000000,176.52,,280.0,0.645,6999000000,-9725000000,-28968000000
2025-10-31,15:35:00,7735,31855000000,337.02,,280.0,0.644,30834000000,-12288000000,-29964000000
2026-01-30,15:35:00,7735,54946000000,581.27,,280.0,0.654,40510000000,-17447000000,-41962000000
2026-02-13,15:35:00,7735,54946000000,581.27,,280.0,0.654,40510000000,-17447000000,-41962000000
