DisclosedDate,DisclosedTime,LocalCode,Profit,EarningsPerShare,BookValuePerShare,ForecastDividendPerShareAnnual,EquityRatio,CashFlowOperating,CashFlowInvesting,CashFlowFinancing
2021-05-12,15:00:00,2587,10668000000,34.53,,78.0,0.495,34636000000,-13570000000,-15111000000
2021-08-12,15:00:00,2587,32159000000,104.07,,78.0,0.496,88976000000,-24168000000,-72559000000
2021-11-11,15:00:00,2587,59408000000,192.26,,78.0,0.511,136633000000,-38453000000,-100910000000
2022-02-14,15:00:00,2587,68676000000,222.25,2785.09,,0.513,158180000000,-56867000000,-96109000000
2022-05-12,15:00:00,2587,12351000000,39.97,,78.0,0.525,30651000000,-11993000000,-34190000000
2022-08-09,15:00:00,2587,48734000000,157.72,,78.0,0.517,80562000000,-8170000000,-32837000000
2022-11-11,15:00:00,2587,68020000000,220.13,,78.0,0.526,131295000000,-23745000000,-85682000000
2023-02-13,15:00:00,2587,82317000000,266.4,3123.69,,0.541,150509000000,-42395000000,-92207000000
2023-05-11,15:00:00,2587,14586000000,47.21,,80.0,0.547,12595000000,-14198000000,-17574000000
2023-08-09,15:00:00,2587,38376000000,124.19,,80.0,0.545,43576000000,-31645000000,-36963000000
2023-11-10,15:00:00,2587,67169000000,217.38,,80.0,0.559,95990000000,-49803000000,-105045000000
2024-02-15,15:00:00,2587,82743000000,267.78,3519.0,,0.569,158292000000,-77798000000,-115404000000
2024-05-13,15:00:00,2587,20253000000,65.55,,110.0,0.571,10535000000,-20918000000,-11389000000
2024-08-08,15:00:00,2587,46494000000,150.47,,110.0,0.569,46560000000,-48028000000,-25376000000
2024-11-12,15:00:00,2587,83260000000,269.45,,112.0,0.582,139964000000,-71550000000,-97225000000
2025-02-13,15:00:00,2587,93495000000,302.57,3914.53,,0.588,193730000000,-101297000000,-112036000000
2025-05-13,15:00:00,2587,15417000000,49.9,,120.0,0.596,11506000000,-17825000000,-24425000000
2025-08-07,13:00:00,2587,41138000000,133.13,,120.0,0.58,41973000000,-40486000000,-13368000000
2025-11-11,13:00:00,2587,75365000000,243.9,,120.0,0.589,115693000000,-56770000000,-77623000000
2026-02-12,14:00:00,2587,88723000000,287.13,4258.74,,0.593,159307000000,-88799000000,-84024000000
